scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source,media_dispersal_air_land_aquatic_marine,media_migration_air_land_aquatic_marine,media_home range_air_land_aquatic_marine,Migration_km,geographic_range_km2,geographic unit source,IUCN
Cercopithecus mitis,cercopithecusmitis,NA,,NA,,,NA,,NA,,,1750000,,Galan-Acedo et al. 2019,,,4.89,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Macaca radiata,macacaradiata,NA,,NA,,,NA,,NA,,,260000,,Galan-Acedo et al. 2019,,,5.14,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Nomascus_gabriellae,nomascusgabriellae,,,,,,,,,,,518600,,Galan-Acedo et al. 2019,,,5.2,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercopithecus_albogularis,cercopithecusalbogularis,,,,,,,,,,,142500,,Galan-Acedo et al. 2019,,,5.28,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Chlorocebus_tantalus,chlorocebustantalus,,,,,,,,,,,665000,,Galan-Acedo et al. 2019,,,5.325,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hylobates_muelleri,hylobatesmuelleri,,,,,,,,,,,450000,,Galan-Acedo et al. 2019,,,5.35,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta caraya,alouattacaraya,,,,,,,,,,,69125,,Galan-Acedo et al. 2019,,,5.38,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercopithecus_nictitans,cercopithecusnictitans,,,,,,,,,,,802500,,Galan-Acedo et al. 2019,,,5.46,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hylobates_pileatus,hylobatespileatus,,,,,,,,,,,360000,,Galan-Acedo et al. 2019,,,5.47,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_cyclopis,macacacyclopis,,,,,,,,,,,1390000,,Galan-Acedo et al. 2019,,,5.47,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Allochrocebus lhoesti,allochrocebuslhoesti,,,,,,,,,,,889625,,Galan-Acedo et al. 2019,,,5.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hylobates_funereus,hylobatesfunereus,,,,,,,,,,,380000,,Galan-Acedo et al. 2019,,,5.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta guariba,alouattaguariba,,,,,,,,,,,150650,,Galan-Acedo et al. 2019,,,5.54,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_frontata,presbytisfrontata,,,,,,,,,,,2.00E+06,,Galan-Acedo et al. 2019,,,5.61,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
NA,propithecuscandidus,NA,,NA,,,NA,,NA,,,388500,,Galan-Acedo et al. 2019,,,5.685,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Cercopithecus_neglectus,cercopithecusneglectus,,,,,,,,,,,70000,,Galan-Acedo et al. 2019,,,5.74,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
NA,propithecusedwardsi,NA,,NA,,,NA,,NA,,,895800,,Galan-Acedo et al. 2019,,,5.74,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Hylobates_klossii,hylobatesklossii,,,,,,,,,,,333000,,Galan-Acedo et al. 2019,,,5.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_mitrata,presbytismitrata,,,,,,,,,,,217500,,Galan-Acedo et al. 2019,,,5.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_waldronae,piliocolobuswaldronae,,,,,,,,,,,1200000,,Galan-Acedo et al. 2019,,,5.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_hosei,presbytishosei,,,,,,,,,,,4.00E+05,,Galan-Acedo et al. 2019,,,5.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_sabana,presbytissabana,,,,,,,,,,,909000,,Galan-Acedo et al. 2019,,,5.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hylobates_albibarbis,hylobatesalbibarbis,,,,,,,,,,,395000,,Galan-Acedo et al. 2019,,,5.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca mulatta,macacamulatta,NA,,NA,,,NA,,NA,,,653750,,Galan-Acedo et al. 2019,,,5.96,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Hylobates_agilis,hylobatesagilis,,,,,,,,,,,290000,,Galan-Acedo et al. 2019,,,6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta seniculus,alouattaseniculus,,,,,,,,,,,702066.667,,Galan-Acedo et al. 2019,,,6.01,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
NA,propithecusdiadema,NA,,NA,,,NA,,NA,,,463050,,Galan-Acedo et al. 2019,,,6.105,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Presbytis_rubicunda,presbytisrubicunda,,,,,,,,,,,872250,,Galan-Acedo et al. 2019,,,6.13,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_siberu,macacasiberu,,,,,,,,,,,1299500,,Galan-Acedo et al. 2019,,,6.165,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_temminckii,piliocolobustemminckii,,,,,,,,,,,225000,,Galan-Acedo et al. 2019,,,6.175,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercopithecus_kandti,cercopithecuskandti,,,,,,,,,,,670000,,Galan-Acedo et al. 2019,,,6.2,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_femoralis,presbytisfemoralis,,,,,,,,,,,248500,,Galan-Acedo et al. 2019,,,6.22,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_cristatus,trachypithecuscristatus,,,,,,,,,,,430000,,Galan-Acedo et al. 2019,,,6.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_potenziani,presbytispotenziani,,,,,,,,,,,252500,,Galan-Acedo et al. 2019,,,6.27,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta arctoidea,alouattaarctoidea,,,,,,,,,,,91733.3333,,Galan-Acedo et al. 2019,,,6.37,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta discolor,alouattadiscolor,,,,,,,,,,,595500,,Galan-Acedo et al. 2019,,,6.37,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta macconnelli,alouattamacconnelli,,,,,,,,,,,258100,,Galan-Acedo et al. 2019,,,6.37,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta belzebul,alouattabelzebul,,,,,,,,,,,114375,,Galan-Acedo et al. 2019,,,6.4,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hylobates_moloch,hylobatesmoloch,,,,,,,,,,,170000,,Galan-Acedo et al. 2019,,,6.42,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta nigerrima,alouattanigerrima,,,,,,,,,,,250000,,Galan-Acedo et al. 2019,,,6.45,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_siberu,presbytissiberu,,,,,,,,,,,167500,,Galan-Acedo et al. 2019,,,6.45,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
NA,indriindri,NA,,NA,,,NA,,NA,,,150000,,Galan-Acedo et al. 2019,,,6.465,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Lophocebus_ugandae,lophocebusugandae,,,,,,,,,,,1550000,,Galan-Acedo et al. 2019,,,6.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Nomascus_leucogenys,nomascusleucogenys,,,,,,,,,,,1584666.67,,Galan-Acedo et al. 2019,,,6.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_melalophos,presbytismelalophos,,,,,,,,,,,220000,,Galan-Acedo et al. 2019,,,6.53,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Alouatta pigra,alouattapigra,,,,,,,,,,,119800,,Galan-Acedo et al. 2019,,,6.56,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Nomascus_hainanus,nomascushainanus,,,,,,,,,,,7810000,,Galan-Acedo et al. 2019,,,6.59,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_crepusculus,trachypithecuscrepusculus,,,,,,,,,,,2865166.67,,Galan-Acedo et al. 2019,,,6.65,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_leonina,macacaleonina,,,,,,,,,,,2150000,,Galan-Acedo et al. 2019,,,6.7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_comata,presbytiscomata,,,,,,,,,,,260000,,Galan-Acedo et al. 2019,,,6.7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_thomasi,presbytisthomasi,,,,,,,,,,,304650,,Galan-Acedo et al. 2019,,,6.73,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Lophocebus_aterrimus,lophocebusaterrimus,,,,,,,,,,,590000,,Galan-Acedo et al. 2019,,,6.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hoolock_hoolock,hoolockhoolock,,,,,,,,,,,1612500,,Galan-Acedo et al. 2019,,,6.88,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_kirkii,piliocolobuskirkii,,,,,,,,,,,190000,,Galan-Acedo et al. 2019,,,6.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Lophocebus_albigena,lophocebusalbigena,,,,,,,,,,,1787500,,Galan-Acedo et al. 2019,,,6.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_obscurus,trachypithecusobscurus,,,,,,,,,,,305000,,Galan-Acedo et al. 2019,,,6.99,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Nomascus_annamensis,nomascusannamensis,,,,,,,,,,,885000,,Galan-Acedo et al. 2019,,,7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Semnopithecus_vetulus,semnopithecusvetulus,,,,,,,,,,,53750,,Galan-Acedo et al. 2019,,,7.03,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_gordonorum,piliocolobusgordonorum,,,,,,,,,,,175300,,Galan-Acedo et al. 2019,,,7.05,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Lagothrix lagothricha,lagothrixlagothricha,,,,,,,,,,,4650000,,Galan-Acedo et al. 2019,,,7.15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Hoolock_leuconedys,hoolockleuconedys,,,,,,,,,,,1072500,,Galan-Acedo et al. 2019,,,7.2,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Lagothrix flavicauda,lagothrixflavicauda,,,,,,,,,,,1145000,,Galan-Acedo et al. 2019,,,7.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Lagothrix poeppigii,lagothrixpoeppigii,,,,,,,,,,,2330000,,Galan-Acedo et al. 2019,,,7.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_hatinhensis,trachypithecushatinhensis,,,,,,,,,,,2250000,,Galan-Acedo et al. 2019,,,7.275,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercocebus_lunulatus,cercocebuslunulatus,,,,,,,,,,,2.00E+06,,Galan-Acedo et al. 2019,,,7.28,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_pennantii,piliocolobuspennantii,,,,,,,,,,,730000,,Galan-Acedo et al. 2019,,,7.4,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercocebus_galeritus,cercocebusgaleritus,,,,,,,,,,,597000,,Galan-Acedo et al. 2019,,,7.44,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_phayrei,trachypithecusphayrei,,,,,,,,,,,823700,,Galan-Acedo et al. 2019,,,7.44,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercocebus_torquatus,cercocebustorquatus,,,,,,,,,,,2474000,,Galan-Acedo et al. 2019,,,7.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_silenus,macacasilenus,,,,,,,,,,,3125000,,Galan-Acedo et al. 2019,,,7.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_francoisi,trachypithecusfrancoisi,,,,,,,,,,,368333.333,,Galan-Acedo et al. 2019,,,7.52,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Ateles_geoffroyi,atelesgeoffroyi,,,,,,,,,,,3880971.43,,Galan-Acedo et al. 2019,,,7.54,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Nomascus_siki,nomascussiki,,,,,,,,,,,882100,,Galan-Acedo et al. 2019,,,7.56,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercocebus_agilis,cercocebusagilis,,,,,,,,,,,2515000,,Galan-Acedo et al. 2019,,,7.58,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_poliocephalus,trachypithecuspoliocephalus,,,,,,,,,,,330000,,Galan-Acedo et al. 2019,,,7.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Presbytis_siamensis,presbytissiamensis,,,,,,,,,,,240000,,Galan-Acedo et al. 2019,,,7.65,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Colobus_vellerosus,colobusvellerosus,,,,,,,,,,,480000,,Galan-Acedo et al. 2019,,,7.68,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_nigra,macacanigra,,,,,,,,,,,2160000,,Galan-Acedo et al. 2019,,,7.68,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Nomascus_concolor,nomascusconcolor,,,,,,,,,,,870000,,Galan-Acedo et al. 2019,,,7.69,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_maura,macacamaura,,,,,,,,,,,2.00E+05,,Galan-Acedo et al. 2019,,,7.88,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Simias_concolor,simiasconcolor,,,,,,,,,,,71000,,Galan-Acedo et al. 2019,,,7.97,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercocebus_sanjei,cercocebussanjei,,,,,,,,,,,2400000,,Galan-Acedo et al. 2019,,,8.05,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Ateles belzebuth,atelesbelzebuth,NA,,NA,,,NA,,NA,,,2699166.67,,Galan-Acedo et al. 2019,,,8.07,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Trachypithecus_delacouri,trachypithecusdelacouri,,,,,,,,,,,360000,,Galan-Acedo et al. 2019,,,8.175,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_badius,piliocolobusbadius,,,,,,,,,,,790000,,Galan-Acedo et al. 2019,,,8.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Ateles_paniscus,atelespaniscus,,,,,,,,,,,2550000,,Galan-Acedo et al. 2019,,,8.28,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_leucocephalus,trachypithecusleucocephalus,,,,,,,,,,,291000,,Galan-Acedo et al. 2019,,,8.285,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_preussi,piliocolobuspreussi,,,,,,,,,,,1.00E+06,,Galan-Acedo et al. 2019,,,8.3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Lagothrix cana,lagothrixcana,,,,,,,,,,,11105000,,Galan-Acedo et al. 2019,,,8.31,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Ateles_hybridus,ateleshybridus,,,,,,,,,,,550000,,Galan-Acedo et al. 2019,,,8.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cercocebus_atys,cercocebusatys,,,,,,,,,,,5.00E+06,,Galan-Acedo et al. 2019,,,8.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Colobus_angolensis,colobusangolensis,,,,,,,,,,,14055000,,Galan-Acedo et al. 2019,,,8.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_tephrosceles,piliocolobustephrosceles,,,,,,,,,,,1334000,,Galan-Acedo et al. 2019,,,8.75,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_germaini,trachypithecusgermaini,,,,,,,,,,,170000,,Galan-Acedo et al. 2019,,,8.83,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Brachyteles arachnoides,brachytelesarachnoides,,,,,,,,,,,2050000,,Galan-Acedo et al. 2019,,,8.84,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Colobus_guereza,colobusguereza,,,,,,,,,,,217250,,Galan-Acedo et al. 2019,,,8.89,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_nemestrina,macacanemestrina,,,,,,,,,,,2271500,,Galan-Acedo et al. 2019,,,8.89,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Colobus_satanas,colobussatanas,,,,,,,,,,,5730000,,Galan-Acedo et al. 2019,,,8.91,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Brachyteles hypoxanthus,brachyteleshypoxanthus,,,,,,,,,,,2385000,,Galan-Acedo et al. 2019,,,9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_assamensis,macacaassamensis,,,,,,,,,,,2334333.33,,Galan-Acedo et al. 2019,,,9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_hecki,macacahecki,,,,,,,,,,,1.00E+06,,Galan-Acedo et al. 2019,,,9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Piliocolobus_rufomitratus,piliocolobusrufomitratus,,,,,,,,,,,142500,,Galan-Acedo et al. 2019,,,9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Colobus_polykomos,colobuspolykomos,,,,,,,,,,,589500,,Galan-Acedo et al. 2019,,,9.1,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Ateles_chamek,ateleschamek,,,,,,,,,,,1920000,,Galan-Acedo et al. 2019,,,9.37,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Erythrocebus patas,erythrocebuspatas,NA,,NA,,,NA,,NA,,,40255000,,Galan-Acedo et al. 2019,,,9.45,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Macaca_fuscata,macacafuscata,,,,,,,,,,,3146500,,Galan-Acedo et al. 2019,,,9.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pygathrix_nemaeus,pygathrixnemaeus,,,,,,,,,,,1640000,,Galan-Acedo et al. 2019,,,9.72,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pygathrix_nigripes,pygathrixnigripes,,,,,,,,,,,250500,,Galan-Acedo et al. 2019,,,9.88,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pygathrix_cinerea,pygathrixcinerea,,,,,,,,,,,9840000,,Galan-Acedo et al. 2019,,,9.98,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Rungwecebus_kipunji,rungwecebuskipunji,,,,,,,,,,,3062000,,Galan-Acedo et al. 2019,,,10,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_geei,trachypithecusgeei,,,,,,,,,,,2082500,,Galan-Acedo et al. 2019,,,10.15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_arctoides,macacaarctoides,,,,,,,,,,,4615000,,Galan-Acedo et al. 2019,,,10.3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Trachypithecus_pileatus,trachypithecuspileatus,,,,,,,,,,,180000,,Galan-Acedo et al. 2019,,,10.93,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Rhinopithecus_avunculus,rhinopithecusavunculus,,,,,,,,,,,7350000,,Galan-Acedo et al. 2019,,,11.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Rhinopithecus_brelichi,rhinopithecusbrelichi,,,,,,,,,,,34500000,,Galan-Acedo et al. 2019,,,11.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Rhinopithecus_strykeri,rhinopithecusstrykeri,,,,,,,,,,,17450000,,Galan-Acedo et al. 2019,,,11.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Symphalangus_syndactylus,symphalangussyndactylus,,,,,,,,,,,173000,,Galan-Acedo et al. 2019,,,11.3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Semnopithecus_entellus,semnopithecusentellus,,,,,,,,,,,781000,,Galan-Acedo et al. 2019,,,11.44,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Semnopithecus_johnii,semnopithecusjohnii,,,,,,,,,,,3557150,,Galan-Acedo et al. 2019,,,11.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_tonkeana,macacatonkeana,,,,,,,,,,,1047500,,Galan-Acedo et al. 2019,,,11.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Rhinopithecus_bieti,rhinopithecusbieti,,,,,,,,,,,20940000,,Galan-Acedo et al. 2019,,,12.48,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Semnopithecus_hypoleucos,semnopithecushypoleucos,,,,,,,,,,,123280000,,Galan-Acedo et al. 2019,,,13.1,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Papio_hamadryas,papiohamadryas,,,,,,,,,,,18650000,,Galan-Acedo et al. 2019,,,13.4,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_sylvanus,macacasylvanus,,,,,,,,,,,5375000,,Galan-Acedo et al. 2019,,,13.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Rhinopithecus_roxellana,rhinopithecusroxellana,,,,,,,,,,,18300000,,Galan-Acedo et al. 2019,,,14.75,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_munzala,macacamunzala,,,,,,,,,,,197500,,Galan-Acedo et al. 2019,,,15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Theropithecus_gelada,theropithecusgelada,,,,,,,,,,,2034300,,Galan-Acedo et al. 2019,,,15.35,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Macaca_thibetana,macacathibetana,,,,,,,,,,,20530000,,Galan-Acedo et al. 2019,,,15.55,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Nasalis larvatus,nasalislarvatus,NA,,NA,,,NA,,NA,,,5156250,,Galan-Acedo et al. 2019,,,15.75,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Papio anubis,papioanubis,NA,,NA,,,NA,,NA,,,22600000,,Galan-Acedo et al. 2019,,,16.65,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Semnopithecus_schistaceus,semnopithecusschistaceus,,,,,,,,,,,38243000,,Galan-Acedo et al. 2019,,,17,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Papio cynocephalus,papiocynocephalus,NA,,NA,,,NA,,NA,,,16542000,,Galan-Acedo et al. 2019,,,17.05,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Papio_papio,papiopapio,,,,,,,,,,,32500000,,Galan-Acedo et al. 2019,,,17.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Semnopithecus_ajax,semnopithecusajax,,,,,,,,,,,3564375,,Galan-Acedo et al. 2019,,,20.15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Mandrillus_leucophaeus,mandrillusleucophaeus,,,,,,,,,,,27500000,,Galan-Acedo et al. 2019,,,20.375,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
NA,papioursinus,NA,,NA,,,NA,,NA,,,12082950,,Galan-Acedo et al. 2019,,,22.3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Mandrillus_sphinx,mandrillussphinx,,,,,,,,,,,61605000,,Galan-Acedo et al. 2019,,,23.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Cebus_yuracus,cebusyuracus,,,,,,,,,,,2400000,,Galan-Acedo et al. 2019,,,33.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pan_paniscus,panpaniscus,,,,,,,,,,,4.00E+07,,Galan-Acedo et al. 2019,,,39.1,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pan_troglodytes,pantroglodytes,,,,,,,,,,,17149000,,Galan-Acedo et al. 2019,,,53.7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pongo_abelii,pongoabelii,,,,,,,,,,,2770000,,Galan-Acedo et al. 2019,,,56.75,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Pongo_pygmaeus,pongopygmaeus,,,,,,,,,,,4358333.33,,Galan-Acedo et al. 2019,,,57.15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Gorilla_gorilla,gorillagorilla,,,,,,,,,,,12958333.3,,Galan-Acedo et al. 2019,,,122.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
Gorilla_beringei,gorillaberingei,,,,,,,,,,,30600000,,Galan-Acedo et al. 2019,,,130,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,,
NA,phanerfurcifer,NA,,NA,,,NA,,NA,,,29150,,Galan-Acedo et al. 2019,,,200.17,Galan-Acedo et al. 2019,,2,,,,,,,,,,,NA,,,
Herpestes sanguineus,herpestessanguineus,NA,,NA,,,NA,,NA,,,750000,,Gittleman and Harvey (1982),,,0.49,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
Herpestes auropunctatus,herpestesauropunctatus,NA,,NA,,,NA,,NA,,,310000,,Gittleman and Harvey (1982),,,0.78,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
Martes martes,martesmartes,NA,,NA,,,NA,,NA,,,1.50E+06,,Gittleman and Harvey (1982),,,1.2,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
Mungos mungo,mungosmungo,NA,,NA,,,NA,,NA,,,2.40E+06,,Gittleman and Harvey (1982),,,1.26,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
Nandinia biontata,nandiniabiontata,NA,,NA,,,NA,,NA,,,730000,,Gittleman and Harvey (1982),,,3.2,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
Ichneumia albicauda,ichneumiaalbicauda,NA,,NA,,,NA,,NA,,,8.00E+06,,Gittleman and Harvey (1982),,,3.9,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
Otocyon megalotis,otocyonmegalotis,NA,,NA,,,NA,,NA,,,730000,,Gittleman and Harvey (1982),,,3.9,,,2,,,,,,,,,,,NA,,,
Nasua narica ,nasuanarica,NA,,NA,,,NA,,NA,,,550000,,Gittleman and Harvey (1982),,,5,Gittleman and Harvey (1982),,2,,,,,,,,,,,NA,,,
