scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal_type,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet - fine scale,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Sitta europaea,sittaeuropaea,24.1,DM,Jenkins_et_al_2007,max,24100,m,0,MG,Moller_etal_2004,0,in multiple of 500 km,21000,DM,Tamburello_etal_2015,21000,m2,0.0183,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,51400000,IUCN (estimated extent of occurrence),
Carcharhinus melanopterus,carcharhinusmelanopterus,5,DM,Jenkins_et_al_2007,max,5000,m,50,CJL,Mourier_Planes_2013,50,km,500000,SDS,Mourier_Planes_2013,0.5,km2,5.518,Jenkins_etal_2007,sds,4,SDS,Carnivore,Carnivore,EOL,,water,inferred,marine,marine,marine,,,
Meleagris gallopavo,meleagrisgallopavo,48,DM,Jenkins_et_al_2007,max,48000,m,0,MG,Fristoe_et_al_2017,resident,,14520000,"MG - value was 3630000, no idea where they got it from",Davis_etal_2018,2.15,km,6.023,Mace_Harvey_1983,sds,4,,Omnivore/Herbivore,Omnivore,Pigot_etal_2020,,land,inferred,land,,land,11300000,IUCN (estimated extent of occurrence),
Tympanuchus cupido,tympanuchuscupido,10.8,DM,Jenkins_et_al_2007,max,10800,m,0,SDS,IUCN,not a migrant,,53200,CJL,Mace_Harvey_1983,5.32,ha,0.908,Mace_Harvey_1983,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,land,Patten_2010,land,,land,1990000,IUCN (estimated extent of occurrence),
Strix aluco,strixaluco,35.3,DM,Jenkins_et_al_2007,max,35300,m,0,MG,Fristoe_et_al_2017,resident,,360000,DM,Makarieva_etal_2005,36,ha,0.519,Tamburello_etal_2015,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,23300000,IUCN (estimated extent of occurrence),
Aegolius funereus,aegoliusfunereus,300,DM,Jenkins_et_al_2007,max,300000,m,0,MG,Lofgren_et_al_1996,,,1138000,CJL,Santangeli_etal_2012,113.8,ha,0.119,Tamburello_etal_2015,sds,4,PT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,73800000,IUCN (estimated extent of occurrence),
Poecile atricapillus,poecileatricapillus,11.2,DM,Jenkins_et_al_2007,max,11200,m,0,SDS,IUCN,not a migrant,,14568.7,SDS,Schoener_1968,3.6,acres,0.011,Schoener_1968,sds,4,,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,15000000,IUCN (estimated extent of occurrence),
Accipiter nisus,accipiternisus,166,DM,Jenkins_et_al_2007,max,166000,m,1100,MG -  was 0,http://birds.kz/v2taxon.php?l=en&s=85 + google earth,"Its migratory, trying to find ref",,1.08E+07,CJL,Selas_Rafoss_1999,average of 9.2 (males) and 12.3 (females),km2,0.807,Tamburello_etal_2015,sds,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,54400000,IUCN (estimated extent of occurrence),
Chelydra serpentina,chelydraserpentina,0.183,DM,Jenkins_et_al_2007,max,183,m,0.5,MG,Obbard_1980,nesting migration,,65300,DM,Tamburello_etal_2015,65300,m2,4.25,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,aquatic,,,
Athene noctua,athenenoctua,94.3,DM,Jenkins_et_al_2007,max,94300,m,0,MG,Fristoe_et_al_2017,resident,,280000,DM,Makarieva_etal_2005,28,ha,0.1565,Tamburello_etal_2015,sds,4,PT,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,55000000,IUCN (estimated extent of occurrence),
Tyto alba,tytoalba,97.1,DM,Jenkins_et_al_2007,max,97100,m,0,MG,Razafindratsima_etal_2018,resident,,1500000,DM,Tamburello_etal_2015,1500000,m2,0.285,Tamburello_etal_2015,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,379000000,IUCN (estimated extent of occurrence),
Aphelocoma coerulescens,aphelocomacoerulescens,1.8,DM,Jenkins_et_al_2007,max,1800,m,0,MG,Fristoe_et_al_2017,resident,,21000,SDS,Bowman_2003,2.1,ha,0.0724,Mace_Harvey_1983,sds,4,CF,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,71900,IUCN (estimated extent of occurrence),
Linaria cannabina,linariacannabina,22,CJL,Jenkins_et_al_2007,max,22000,m,2500,SDS - was 1044,Roseler_2017,2500,km,3140000,DM - under carduelis cannabina,Tamburello_etal_2015,,m2,0.0155,Tamburello_etal_2015,sds,4,CF,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,27300000,IUCN (estimated extent of occurrence),
Pituophis melanoleucus,pituophismelanoleucus,0.307,DM,Jenkins_et_al_2007,max,307,m,0,CJL - changed source,Zappalorti_et_al_2015,hibernacula are located within home ranges,,701000,DM,Tamburello_etal_2015,701000,m2,1.004,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,,land,,,
Ambystoma talpoideum,ambystomatalpoideum,1,DM,Jenkins_et_al_2007,max,1000,m,0.155,SDS,Semlitsch_1985,"10, 300",m,4.45,CF,Semlitsch_1981,,,0.00294,Jenkins_etal_2007,sds,4,CF,Invertivore,Invertivore,ADW,,land,ADW,land,land,land_aquatic,,,
Gloydius shedaoensis,gloydiusshedaoensis,0.1,DM,Jenkins_et_al_2007,max,100,m,0,CJL,shine_2002,whole population is w/in less than 1 square km,,2613.69,DM,Tamburello_etal_2015,2613.69,m2,0.19681,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,,land,0.73,IUCN (estimated extent of occurrence),
Buteo buteo,buteobuteo,72.4,DM,Jenkins_et_al_2007,max,72400,m,702,CJL,Strandberg_et_al_2008,7.02E+02,km,1.45E+06,DM,Makarieva_etal_2005,145,ha,0.846,Tamburello_etal_2015,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,33900000,IUCN (estimated extent of occurrence),
Zootoca vivipara,zootocavivipara,0.1,DM,Jenkins_et_al_2007,max,100,m,0,MG,Strijbosch_1996,"From this one may conclude, that here maximally 2 out of every 3 animals live a more or less stationary life",,920,MG,Perry_Garland_2002,920,m2,0.0032,Perry_Garland_2002,sds,4,SDS,Carnivore/Insectivore,Invertivore,ADW,,land,ADW,land,,land,,,
Delichon urbicum,delichonurbicum,34.8,DM,Jenkins_et_al_2007,max,34800,m,5250,CJL - changed value,Szep et al. 2017,"avg  of 5 inds (4250,4500,4250,5200,8050)",km,6.36E+05,CJL - value was 45,Bryant_Turner_1982,0.45,km radius,0.02,Jenkins_etal_2007,sds,4,PLT,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,30800000,IUCN (estimated extent of occurrence),
Scaphiopus holbrookii,scaphiopusholbrookii,0.825,DM,Jenkins_et_al_2007,max,825,m,0.1304,DM - changed from 0.134,Timm_2014,130.4m +/- 28m,m,53420,"MG - value was 5320, (missed 1 number)",Timm_etal_2014,130.4,m,0.02046,Jenkins_etal_2007,sds,4,CF,Carnivore/Invertivore,Invertivore,ADW,,land,ADW,land,land,land,,,
Rana sylvatica,ranasylvatica,2.53,DM,Jenkins_et_al_2007,max,2530,m,0.3,SDS,Vasconcelos_Calhoun_2004,300,m,64.5,MG,Bellis_1965,77.2,yards2,0.0144,Trochet_etal_2014_2014,sds,4,SDS,Omnivore/Invertivore,Invertivore,ADW,,land,ADW,land,land,land,,,
Pelobates fuscus,pelobatesfuscus,0.5,DM,Jenkins_et_al_2007,max,500,m,0.0179,DM,Trochet_etal_2014,17.9,m,148.2,CF,Eggert_2002,148.2,m^2,0.0216,Trochet_etal_2014_2014,sds,4,SDS,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walk_swim - land_water,water,Trochet_etal_2014,land,land,land,,,
Bombina variegata,bombinavariegata,0.3128,DM,Jenkins_et_al_2007,max,312.8,m,0.19273,DM,Trochet_etal_2014,192.73,m,2330,CJL,Jacob_etal_2009,average of 2357 & 2303 for males & females,m2,0.00632,Trochet_etal_2014_2014,sds,4,CJL,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,"walk, swim - land, water",water,Trochet_etal_2014,land,land,land,,,
Salamandra salamandra,salamandrasalamandra,0.03,DM,Jenkins_et_al_2007,max,30,m,0.0665,DM,Trochet_etal_2014,66.5,m,494,MG - value was 61.5,Schulte_etal_2007,494,m2,0.03523,Trochet_etal_2014_2014,sds,4,,Invertivore,Invertivore,ADW,walking - land,land,Trochet_etal_2014,land,land,land,,,
Bufo bufo,bufobufo,3.62102,DM,Jenkins_et_al_2007,max,3621.02,m,0.015,DM,Trochet_etal_2014,15,m,50,DM,Trochet_etal_2014_2014,50,m2,0.07654,Trochet_etal_2014_2014,yes,4,,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walking - land,land,Trochet_etal_2014,land,land,land,,,
Hyla arborea,hylaarborea,12.6,DM,Jenkins_et_al_2007,max,12600,m,0.39,DM,Trochet_etal_2014,390,m,10,DM,Trochet_etal_2014_2014,10,m2,0.00604,Trochet_etal_2014_2014,yes,4,,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,climbing/jumping,land,Trochet_etal_2014,land,land,land,,,
Rana arvalis,ranaarvalis,7.6,DM,Jenkins_et_al_2007,max,7600,m,0.0085,DM,Trochet_etal_2014,8.5,m,100,DM,Trochet_etal_2014_2014,100,m2,0.0108,Trochet_etal_2014_2014,yes,4,,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walking - land,land,Trochet_etal_2014,land,land,land,,,
Rana dalmatina,ranadalmatina,0.3,DM,Jenkins_et_al_2007,max,300,m,0.1942,DM,Trochet_etal_2014,194.2,m,90,DM,Trochet_etal_2014_2014,90,m2,0.02099,Trochet_etal_2014_2014,yes,4,,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walk_swim - land_water,land,Trochet_etal_2014,land,land,land,,,
Rana temporaria,ranatemporaria,0.46,DM,Jenkins_et_al_2007,max,460,m,0.031,DM,Trochet_etal_2014,31,m,119.5,DM,Trochet_etal_2014_2014,119.5,m2,0.04224,Trochet_etal_2014_2014,yes,4,,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walk_swim - land_water,land,Trochet_etal_2014,land,land,land_aquatic,,,
Hoplocephalus bungaroides,hoplocephalusbungaroides,0.9,DM,Jenkins_et_al_2007,max,900,m,0.78,SDS,Webb_1997,780,m,27379,DM,Tamburello_etal_2015,27379,m2,0.04879,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,land,land,30756,IUCN (estimated extent of occurrence),
Seiurus aurocapilla,seiurusaurocapilla,0.618,CJL,Jenkins_et_al_2017,max,618,m,3206.4,CF,Horton_2018,3206.4,km,1,DM,Armstrong_1965,1,ha,0.0189,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,9010000,IUCN (estimated extent of occurrence),
Empidonax virescens,empidonaxvirescens,0.84,CJL,Jenkins_et_al_2017,max,840,m,3457.7,CF,Horton_2018,3457.7,km,18300,MG- value was 11000,DeGraaf_Yamasaki_2001,1.83,21.8 territorial males per 100 acres (40ha),0.013,Best_etal_1996,sds,4,CF,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,2070000,IUCN (estimated extent of occurrence),
Grus americana,grusamericana,16.6,CJL - changed source & value,Johns_et_al_2005,mean,16.6,km,4000,SDS - changed source,Hein_Gillooly_2011,,km,4100000,CF- was 4500000,ADW,4.1,,6.9,Hein_etal_2012,sds,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,139000,IUCN (estimated extent of occurrence),
Bison bison,bisonbison,125.6,MG,Jung_2017,mean,125.6,Km,93,SDS,Teitelbaum_2015,"57,31,35,249",km,265778594.2,DM,Tamburello_etal_2015,265778594.2,m2,629.9992,Tamburello_etal_2015,sds,4,MG,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Sturnella magna,sturnellamagna,6,SDS,Kershner_etal_2004,mean,6.6,km,359.4,CF,Horton_2018,359.4,km,30351.4,SDS,Schoener_1968,7.5,acres,0.089,Schoener_1968,sds,4,CF,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,20500000,IUCN (estimated extent of occurrence),
Vireo bellii,vireobellii,4,SDS,Kus_et_al_2020,mean,,,1537.3,CF,Horton_2018,1537.3,km,11735.9,SDS,Schoener_1968,2.9,acres,0.01,Schoener_1968,sds,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,1380000,IUCN (estimated extent of occurrence),
Geothlypis trichas,geothlypistrichas,1.7,DM,Lehnen_Rodewald_2009,mean,1.7,km,2156.4,CF,Horton_2018,2156.4,km,5300,CJL,Mace_Harvey_1983,0.53,ha,0.0098,Mace_Harvey_1983,sds,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,12200000,IUCN (estimated extent of occurrence),
Epidalea calamita,epidaleacalamita,0.068,MG,Leskovar_Sinsch_2005,median,68,m,0.51066,DM,Trochet_etal_2014,510.66,m,1450,DM,Trochet_etal_2014_2014,1450,m2,0.05022,Trochet_etal_2014_2014,yes,4,CJL,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walking - land,land,Trochet_etal_2014,land,land,land,,,
Junco hyemalis,juncohyemalis,1.003,CJL - changed source & value,Liebgold_etal_2019,mean,1003 - used WebPlotDigitizer on Fig 4,m,4000,SDS - changed source,Hein_Gillooly_2011,,km,8330,MG - value was 15000,Reichard_Ketterson_2012,0.833,ha,0.022,Hein_etal_2012,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,17900000,IUCN (estimated extent of occurrence),
Aegolius acadicus,aegoliusacadicus,9,CJL - changed value,Marks_et_al_2015,single measure,9,km,467,SDS - changed source,Priestley_etal_2010,4.16E+02,km,1.40E+06,DM,Makarieva_etal_2005,140,ha,0.085,Makarieva_etal_2005,yes,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,18600000,IUCN (estimated extent of occurrence),
Protonotaria citrea,protonotariacitrea,1.42,DM,McKim-Louder_etal_2013,median,1.42,km,2527,CF,Horton_2018,2527,km,15000,CJL,Mace_Harvey_1983,1.5,ha,1.61E-02,Mace_Harvey_1983,sds,4,CF,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,3660000,IUCN (estimated extent of occurrence),
Calcarius lapponicus,calcariuslapponicus,0.3985,CJL - changed value (wrong units),McLaughlin_Montgomerie_1985,mean,398.5,m,6500,SDS - changed source,Hein_Gillooly_2011,,km,17600,CJL,Mace_Harvey_1983,1.76,ha,0.0286,Mace_Harvey_1983,sds,4,PLT,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,38900000,IUCN (estimated extent of occurrence),
Haliaeetus leucocephalus,haliaeetusleucocephalus,69.2,CJL,Millsap_etal_2014,median,69.2,km,930,SDS - changed source,Laing_Bird_2005,,km,41330.89,DM,Armstrong_1965,203.3,ha,3.997,Armstrong_1965,yes,4,,Omnivore/Carnivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,23300000,IUCN (estimated extent of occurrence),
Accipiter striatus,accipiterstriatus,367.4,MG,Morrison_Baird_2016,mean,367.4,Km,1500,SDS - changed source,Bildstein_etal_2020,1.50E+03,km,1.00E+06,SDS,Schoener_1968,246,acres,0.141,Tamburello_etal_2015,sds,4,PT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,51200000,IUCN (estimated extent of occurrence),
Tyrannus tyrannus,tyrannustyrannus,0.202,MG,Murphy_1996,mean,202,"m, Dispersal patterns of adult male and female Eastern Kingbirds took the average from a plot",7071.6,CF,Horton_2018,7071.6,km,70.3921,DM,Armstrong_1965,8.39,ha,0.046,Armstrong_1965,yes,4,CF,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,5290000,IUCN (estimated extent of occurrence),
Aquila chrysaetos,aquilachrysaetos,55.3,DM,Murphy_etal_2019,mean of medians,55.3,km,2200,SDS - changed source,Brodeur_etal_1996,1.08E+03,,2.20E+07,DM,Makarieva_etal_2005,2200,ha,1.6,Makarieva_etal_2005,yes,4,PT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,139000000,IUCN (estimated extent of occurrence),
Capreolus pygargus,capreoluspygargus,120,MG,Mysterud_1999,mean,120,Km,500,CJL,Hein_etal_2012,500,km,1.00E+06,MG,Pantheria,0.99,km2,40,Hein_etal_2012,yes,4,,Grazer/Browser/Folivore,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
Pecari tajacu,pecaritajacu,0.25,MG,Oldenburg_et_al_1985,mode,Mode separation distance is 200-299 m,,0,MG,Bigler_1974,Pecaries did not move seasonally to track any other species,,1.35E+06,CJL,Harestad_ Bunnel_1979,135.21,ha,23.814,Harestad_ Bunnel_1979,sds,4,,Omnivore/Herbivore,Herbivore,EOL,running,land,Hirt_etal,land,,land,,,
Equus zebra,equuszebra,120,CF,Olivier_2019,max? from map,120,km (said to disperse over entire park system so longest length of park system was estimated from map_,100,CJL,Hein_etal_2012,100,km,9.40E+06,MG - value was 9.4e+7,Penzhorn 1982,9.4,km2,240,Hein_etal_2012,yes,4,CJL,Herbivore/Folivore/Grazer,Herbivore,ADW,running,land,Hirt_etal,land,land,land,779598,IUCN (estimated extent of occurrence),
Troglodytes troglodytes,troglodytestroglodytes,8.9,MG,Paradis_1998 & Prugh_etal_2008,mean,8.9,Km,1127.8,CF,Horton_2018,1127.8,km,10117.1,SDS,Schoener_1968,2.5,acres,0.0095,Schoener_1968,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,50800000,IUCN (estimated extent of occurrence),
Passer montanus,passermontanus,8,MG,Paradis_1998 & Prugh_etal_2008.,mean,8,Km,500,MG,Moller_etal_2004,1,in multiple of 500 km,7600,MG - value was 13000,Guangmei_2003,7600,m2,0.022,Moller_etal_2004,sds,4,SDS,Omnivore/Granivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,98300000,IUCN (estimated extent of occurrence),
Passer domesticus,passerdomesticus,4,MG - value was 26,Paradis_1998 & Prugh_etal_2008.,mean,4,km,0,MG,Moller_etal_2004,0,in multiple of 500 km,7762.5,CJL - value was 7500,Vangestel_etal_2010,weighted avg of SIP's in Table 1,ha,0.029,Mace_Harvey_1983,sds,4,SDS,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,,air,68500000,IUCN (estimated extent of occurrence),
Lanius collurio,laniuscollurio,0.28,MG,Pasinelli_et_al_2007,mean,374 m and 186 m,m (breeding dispersal females and males),11000,CJL,Hein_etal_2012,11000,km,15782.72,DM,Tamburello_etal_2015,15782.72,m2,0.03,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,8030000,IUCN (estimated extent of occurrence),
Arenaria interpres,arenariainterpres,3,MG,Pearce-Higgins_2001,max,3,km,5700,SDS - changed source,Hein_Gillooly_2011,,km,328900,SDS 3.04 pairs / km,Nettleship_1973,0.3289,km2,0.14,Hein_etal_2012,sds,4,CF,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,Nettleship_2000,air,air,air_land,177000,IUCN (estimated extent of occurrence),
Charadrius vociferus,charadriusvociferus,1.639,CJL - changed source & value,Powers_1997,mean,1639 = weighted avg of natal dispersal in Table 2,m,4348,SDS - changed source,LaSorte_etal_2013,,km,42150,MG - value was 4550,Plissner_etal_2010,4.215,ha,0.095,Hein_etal_2012,sds,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,26300000,IUCN (estimated extent of occurrence),
Sitta carolinensis,sittacarolinensis,1,DM,Prugh_etal_2008,mean,1,km,0,MG,IUCN,non-migrant,,376.36,DM,Armstrong_1965,19.4,ha,0.0201,Armstrong_1965,yes,4,CF,Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,14900000,IUCN (estimated extent of occurrence),
Tamiasciurus douglasii,tamiasciurusdouglasii,0.6,DM,Prugh_etal_2008,max,0.6,km,0,SDS - changed source,Sullivan_Sullivan_1982,non-migrant,,11000,CJL,Harestad_ Bunnel_1979,1.1,ha,0.254,Harestad_ Bunnel_1979,sds,4,CF,Omnivore/Herbivore,Omnivore,EOL,,land,inferred,land,,land,875382,IUCN (estimated extent of occurrence),
Glaucomys sabrinus,glaucomyssabrinus,0.43,DM,Prugh_etal_2008,mean,0.43,km,0,SDS - changed source,Smith_2007,non-migrant,,79000.53,DM,Tamburello_etal_2015,79000.53,m2,0.14884,Tamburello_etal_2015,yes,4,CF,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,16558135,IUCN (estimated extent of occurrence),
Tamias striatus,tamiasstriatus,0.22,DM,Prugh_etal_2008,mean,0.22,km,0,SDS - changed source,Levesque_Tattersall_2010,non-migrant,,1100,CJL,Harestad_ Bunnel_1979,0.11,ha,0.085,Harestad_ Bunnel_1979,sds,4,CF,Omnivore/Frugivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,5605677,IUCN (estimated extent of occurrence),
Tamias quadrivittatus,tamiasquadrivittatus,7.19,DM,Prugh_etal_2008,max,7.19,km,0,SDS - changed source,Howell_1929,non-migrant,,67300,CJL - value was 68300,Swihart_etal_1988,6.73,ha,0.058,Swihart_etal_1988,sds,4,CF,Omnivore/Herbivore,Omnivore,EOL,,land,inferred,land,,land,355265,IUCN (estimated extent of occurrence),
Thomomys talpoides,thomomystalpoides,0.79,DM,Prugh_etal_2008,max,0.79,km,0,MG,Beauvais_Dark-Smiley_2005,non-migrant,,200,CJL,Harestad_ Bunnel_1979,0.02,ha,0.14,Harestad_ Bunnel_1979,sds,4,CF,Herbivore/Browser,Herbivore,EOL,,land,inferred,land,,land,3626522,IUCN (estimated extent of occurrence),
Parkesia motacilla,parkesiamotacilla,4,DM,Prugh_etal_2008,max,4,km,2540,SDS - was 2500,LaSorte_etal_2013,km,,20000,SDS,Bowman_2003,2,ha,0.02,Best_etal_1996,sds,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,Bowman_2003,air,air,air_land,3520000,IUCN (estimated extent of occurrence),
Tamias minimus,tamiasminimus,3.02,DM,Prugh_etal_2008,max,3.02,km,0,SDS,Verts_Carraway_2001,,,21000,CJL,Swihart_etal_1988,2.1,ha,0.045,Swihart_etal_1988,sds,4,CF,Omnivore/Frugivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,land,land,land,9004167,IUCN (estimated extent of occurrence),
Blarina brevicauda,blarinabrevicauda,7.71,DM,Prugh_etal_2008,max,7.71,km,0,MG,Buchler_Wasilewski_1985,non-migratory,,3520.765,DM,McNab_1963,0.87,acres,0.018,McNab_1963,sds,4,MG,Omnivore/Carnivore,Omnivore,EOL,,land,inferred,land,land,land,6066474,IUCN (estimated extent of occurrence),
Ursus arctos,ursusarctos,36.6,DM,Prugh_etal_2008,mean,36.6,km,0,CF,Eriksen_etal_2018,spend winter hibernating',NA,5.31E+07,MG,Gittleman_Harvey_1982,53.1,km2,204.12,Harestad_ Bunnel_1979,sds,4,MG,Omnivore/Herbivore/Carnivore,Omnivore,ADW,running,land,Hirt_etal,land,,land,,,
Sylvilagus palustris,sylvilaguspalustris,0.56,DM,Prugh_etal_2008,mean,0.56,km,0,CF,Chapman_Willner_1981,year-round home ranges,NA,39600.44,DM,Tamburello_etal_2015,39600.44,m2,1.34999,Tamburello_etal_2015,yes,4,CJL,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land_aquatic,723439.5,IUCN (estimated extent of occurrence),
Didelphis marsupialis,didelphismarsupialis,4.3,DM,Prugh_etal_2008,max,4.3,km,0,CF,Caceres_2003,breeding season homerange a subset of yearround home range,NA,598800,CJL,Harestad_ Bunnel_1979,59.88,ha,2.724,Harestad_ Bunnel_1979,sds,4,CJL,Omnivore/Carnivore,Omnivore,EOL,,land,inferred,land,,,,,
Microtus pinetorum,microtuspinetorum,1.55,DM,Prugh_etal_2008,max,1.55,km,0,CF,COSEWIC_2010,no seasonal movements,NA,5800,CJL,Mace_Harvey_1983,0.58,ha,0.023,Mace_Harvey_1983,sds,4,SDS,Herbivore,Herbivore,EOL,running,land,Hirt_etal,land,,land,3613193,IUCN (estimated extent of occurrence),
Glaucomys volans,glaucomysvolans,0.43,DM,Prugh_etal_2008,mean,0.43,km,0,CF,ADW,females defend home range year round,NA,16187.4,DM,McNab_1963,4,acres,0.0645,Tamburello_etal_2015,sds,4,SDS,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,10018108,IUCN (estimated extent of occurrence),
Lontra canadensis,lontracanadensis,200,DM,Prugh_etal_2008,max,200,km,0,CJL,Eccles_etal_2020,"""non-migratory""",,9.43E+06,CJL,Helon_2006,943.24 = weighted mean of males and females: ((9*802.4)+(8*1101.7))/(9+8),ha,6.225,Prugh_etal_2008,CJL,4,,Carnivore,Carnivore,EOL,,,Gorman_2006,land_aquatic_marine,,land_aquatic_marine,,,
Sciurus aberti,sciurusaberti,10.13,DM,Prugh_etal_2008,max,10.13,km,0,CJL,Farentinos_1979,home range overlaps in breeding and nonbreeding season,,130888.05,DM,Tamburello_etal_2015,130888.05,m2,0.7938,Tamburello_etal_2015,yes,4,SDS,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,956045,IUCN (estimated extent of occurrence),
Mustela frenata,mustelafrenata,23.51,DM,Prugh_etal_2008,max,23.51,km,0,CJL - changed source,Gonzales_1997,"""permanent resident""",,1112900,CJL,Harestad_ Bunnel_1979,111.29,ha,0.165,Harestad_ Bunnel_1979,sds,4,SDS,Omnivore/Carnivore,Carnivore,EOL,,land,inferred,land,,land,,,
Scalopus aquaticus,scalopusaquaticus,6.05,DM,Prugh_etal_2008,max,6.05,km,0,DM,Harvey_1976,,,7428.65,DM,Tamburello_etal_2015,7428.65,m2,0.1035,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,5845044,IUCN (estimated extent of occurrence),
Phylloscopus trochilus,phylloscopustrochilus,20.8,MG,Prugh_etal_2008,mean,20.8,Km,15000,CJL,Hein_etal_2012,15000,km,2800,CF,Calder_1990,0.28,ha,0.0087,Hein_etal_2012,sds,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,22200000,IUCN (estimated extent of occurrence),
