scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Leontopithecus_caissara,leontopithecuscaissara,,,,,,,,,,,3450000,,Galan-Acedo et al. 2019,,,0.58,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Leontopithecus_chrysomelas,leontopithecuschrysomelas,,,,,,,,,,,620333.333,,Galan-Acedo et al. 2019,,,0.58,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemurleucopus,NA,,NA,,,NA,,NA,,,5000,,Galan-Acedo et al. 2019,,,0.585,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Leontopithecus_chrysopygus,leontopithecuschrysopygus,,,,,,,,,,,1515000,,Galan-Acedo et al. 2019,,,0.615,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemurpetteri,NA,,NA,,,NA,,NA,,,3000,,Galan-Acedo et al. 2019,,,0.62,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemurseptentrionalis,NA,,NA,,,NA,,NA,,,8500,,Galan-Acedo et al. 2019,,,0.6275,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Leontopithecus_rosalia,leontopithecusrosalia,,,,,,,,,,,961000,,Galan-Acedo et al. 2019,,,0.64,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Nycticebus_coucang,nycticebuscoucang,,,,,,,,,,,63000,,Galan-Acedo et al. 2019,,,0.65,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus brumbacki,aotusbrumbacki,,,,,,,,,,,175000,,Galan-Acedo et al. 2019,,,0.67,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Lepilemur_sahamalazensis,lepilemursahamalazensis,,,,,,,,,,,8400,,Galan-Acedo et al. 2019,,,0.69,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saguinus_inustus,saguinusinustus,,,,,,,,,,,350000,,Galan-Acedo et al. 2019,,,0.69,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus vociferans,aotusvociferans,,,,,,,,,,,63000,,Galan-Acedo et al. 2019,,,0.7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Nycticebus_javanicus,nycticebusjavanicus,,,,,,,,,,,75000,,Galan-Acedo et al. 2019,,,0.73,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemurankaranensis,NA,,NA,,,NA,,NA,,,30000,,Galan-Acedo et al. 2019,,,0.76,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Otolemur garnettii,otolemurgarnettii,,,,,,,,,,,141700,,Galan-Acedo et al. 2019,,,0.76,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus trivirgatus,aotustrivirgatus,,,,,,,,,,,40000,,Galan-Acedo et al. 2019,,,0.77,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemurruficaudatus,NA,,NA,,,NA,,NA,,,8000,,Galan-Acedo et al. 2019,,,0.78,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus nancymaae,aotusnancymaae,,,,,,,,,,,92000,,Galan-Acedo et al. 2019,,,0.79,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saimiri oerstedii,saimirioerstedii,NA,,NA,,,NA,,NA,,,1880000,,Galan-Acedo et al. 2019,,,0.79,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus miconax,aotusmiconax,,,,,,,,,,,12300,,Galan-Acedo et al. 2019,,,0.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,avahioccidentalis,NA,,NA,,,NA,,NA,,,9500,,Galan-Acedo et al. 2019,,,0.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_oenanthe,plecturocebusoenanthe,,,,,,,,,,,23000,,Galan-Acedo et al. 2019,,,0.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_olallae,plecturocebusolallae,,,,,,,,,,,1.00E+05,,Galan-Acedo et al. 2019,,,0.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_pallescens,plecturocebuspallescens,,,,,,,,,,,2.00E+05,,Galan-Acedo et al. 2019,,,0.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saimiri_vanzolinii,saimirivanzolinii,,,,,,,,,,,8.00E+05,,Galan-Acedo et al. 2019,,,0.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saimiri_sciureus,saimirisciureus,,,,,,,,,,,1810000,,Galan-Acedo et al. 2019,,,0.82,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,hapalemurgriseus,NA,,NA,,,NA,,NA,,,175000,,Galan-Acedo et al. 2019,,,0.82333333,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Perodicticus_potto,perodicticuspotto,,,,,,,,,,,75000,,Galan-Acedo et al. 2019,,,0.83,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_brunneus,plecturocebusbrunneus,,,,,,,,,,,39000,,Galan-Acedo et al. 2019,,,0.83,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Lepilemur_mittermeieri,lepilemurmittermeieri,,,,,,,,,,,36000,,Galan-Acedo et al. 2019,,,0.86,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saimiri_ustus,saimiriustus,,,,,,,,,,,5.00E+05,,Galan-Acedo et al. 2019,,,0.86,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saimiri_boliviensis,saimiriboliviensis,,,,,,,,,,,3750000,,Galan-Acedo et al. 2019,,,0.88,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Saimiri_cassiquiarensis,saimiricassiquiarensis,,,,,,,,,,,1700000,,Galan-Acedo et al. 2019,,,0.88,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus lemurinus,aotuslemurinus,,,,,,,,,,,26470,,Galan-Acedo et al. 2019,,,0.89,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Lepilemur_fleuretae,lepilemurfleuretae,,,,,,,,,,,51600,,Galan-Acedo et al. 2019,,,0.89,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus zonalis,aotuszonalis,,,,,,,,,,,86000,,Galan-Acedo et al. 2019,,,0.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Hapalemur_occidentalis,hapalemuroccidentalis,,,,,,,,,,,260000,,Galan-Acedo et al. 2019,,,0.9315,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_aureipalatii,plecturocebusaureipalatii,,,,,,,,,,,139500,,Galan-Acedo et al. 2019,,,0.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_donacophilus,plecturocebusdonacophilus,,,,,,,,,,,545000,,Galan-Acedo et al. 2019,,,0.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Aotus nigriceps,aotusnigriceps,,,,,,,,,,,105000,,Galan-Acedo et al. 2019,,,0.96,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,hapalemurmeridionalis,NA,,NA,,,NA,,NA,,,132700,,Galan-Acedo et al. 2019,,,0.96,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemuredwardsi,NA,,NA,,,NA,,NA,,,10900,,Galan-Acedo et al. 2019,,,0.975,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lepilemurmustelinus,NA,,NA,,,NA,,NA,,,9000,,Galan-Acedo et al. 2019,,,0.98,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,avahicleesei,NA,,NA,,,NA,,NA,,,20000,,Galan-Acedo et al. 2019,,,0.99,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_moloch,plecturocebusmoloch,,,,,,,,,,,81000,,Galan-Acedo et al. 2019,,,0.99,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_discolor,plecturocebusdiscolor,,,,,,,,,,,33000,,Galan-Acedo et al. 2019,,,1.01,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Lepilemur_microdon,lepilemurmicrodon,,,,,,,,,,,5000,,Galan-Acedo et al. 2019,,,1.035,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Avahi peyrierasi,avahipeyrierasi,,,,,,,,,,,10000,,Galan-Acedo et al. 2019,,,1.055,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_cupreus,plecturocebuscupreus,,,,,,,,,,,250000,,Galan-Acedo et al. 2019,,,1.07,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Callicebus_barbarabrownae,callicebusbarbarabrownae,,,,,,,,,,,5.00E+05,,Galan-Acedo et al. 2019,,,1.15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Otolemur crassicaudatus,otolemurcrassicaudatus,,,,,,,,,,,85000,,Galan-Acedo et al. 2019,,,1.15,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Plecturocebus_ornatus,plecturocebusornatus,,,,,,,,,,,74575,,Galan-Acedo et al. 2019,,,1.17,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,avahilaniger,NA,,NA,,,NA,,NA,,,15000,,Galan-Acedo et al. 2019,,,1.175,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Avahi meridionalis,avahimeridionalis,,,,,,,,,,,57200,,Galan-Acedo et al. 2019,,,1.18,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Perodicticus_edwardsi,perodicticusedwardsi,,,,,,,,,,,842000,,Galan-Acedo et al. 2019,,,1.19,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,hapalemuralaotrensis,NA,,NA,,,NA,,NA,,,32500,,Galan-Acedo et al. 2019,,,1.24,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cheracebus_torquatus,cheracebustorquatus,,,,,,,,,,,211250,,Galan-Acedo et al. 2019,,,1.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Miopithecus_ogouensis,miopithecusogouensis,,,,,,,,,,,2125000,,Galan-Acedo et al. 2019,,,1.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Miopithecus_talapoin,miopithecustalapoin,,,,,,,,,,,3110000,,Galan-Acedo et al. 2019,,,1.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Nycticebus_bengalensis,nycticebusbengalensis,,,,,,,,,,,156000,,Galan-Acedo et al. 2019,,,1.26,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Callicebus_personatus,callicebuspersonatus,,,,,,,,,,,115000,,Galan-Acedo et al. 2019,,,1.32,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cheracebus_lugens,cheracebuslugens,,,,,,,,,,,142000,,Galan-Acedo et al. 2019,,,1.37,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurmongoz,NA,,NA,,,NA,,NA,,,39250,,Galan-Acedo et al. 2019,,,1.375,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurcoronatus,NA,,NA,,,NA,,NA,,,62650,,Galan-Acedo et al. 2019,,,1.47,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cheracebus_lucifer,cheracebuslucifer,,,,,,,,,,,2.00E+05,,Galan-Acedo et al. 2019,,,1.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cheracebus_purinus,cheracebuspurinus,,,,,,,,,,,450000,,Galan-Acedo et al. 2019,,,1.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,hapalemuraureus,NA,,NA,,,NA,,NA,,,260000,,Galan-Acedo et al. 2019,,,1.515,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Pithecia_pithecia,pitheciapithecia,,,,,,,,,,,483600,,Galan-Acedo et al. 2019,,,1.76,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurflavifrons,NA,,NA,,,NA,,NA,,,52800,,Galan-Acedo et al. 2019,,,1.83,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurfulvus,NA,,NA,,,NA,,NA,,,106000,,Galan-Acedo et al. 2019,,,1.84,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Eulemur sanfordi,eulemursanfordi,,,,,,,,,,,105000,,Galan-Acedo et al. 2019,,,1.87,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Pithecia_chrysocephala,pitheciachrysocephala,,,,,,,,,,,561250,,Galan-Acedo et al. 2019,,,1.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,prolemursimus,NA,,NA,,,NA,,NA,,,511850,,Galan-Acedo et al. 2019,,,1.98,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurrubriventer,NA,,NA,,,NA,,NA,,,163500,,Galan-Acedo et al. 2019,,,1.9975,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurrufus,NA,,NA,,,NA,,NA,,,512500,,Galan-Acedo et al. 2019,,,2.01,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemuralbifrons,NA,,NA,,,NA,,NA,,,102000,,Galan-Acedo et al. 2019,,,2.04,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurmacaco,NA,,NA,,,NA,,NA,,,110500,,Galan-Acedo et al. 2019,,,2.06333333,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurcinereiceps,NA,,NA,,,NA,,NA,,,530250,,Galan-Acedo et al. 2019,,,2.16,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurcollaris,NA,,NA,,,NA,,NA,,,666250,,Galan-Acedo et al. 2019,,,2.16,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Pithecia_irrorata,pitheciairrorata,,,,,,,,,,,359000,,Galan-Acedo et al. 2019,,,2.16,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,eulemurrufifrons,NA,,NA,,,NA,,NA,,,532150,,Galan-Acedo et al. 2019,,,2.18,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus_aequatorialis,cebusaequatorialis,,,,,,,,,,,2880000,,Galan-Acedo et al. 2019,,,2.19,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,lemurcatta,NA,,NA,,,NA,,NA,,,156000,,Galan-Acedo et al. 2019,,,2.21,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_flavius,sapajusflavius,,,,,,,,,,,2239900,,Galan-Acedo et al. 2019,,,2.35,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Pithecia_monachus,pitheciamonachus,,,,,,,,,,,258500,,Galan-Acedo et al. 2019,,,2.36,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus_kaapori,cebuskaapori,,,,,,,,,,,624000,,Galan-Acedo et al. 2019,,,2.425,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_libidinosus,sapajuslibidinosus,,,,,,,,,,,3.00E+06,,Galan-Acedo et al. 2019,,,2.54,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,daubentoniamadagascariensis,NA,,NA,,,NA,,NA,,,1029500,,Galan-Acedo et al. 2019,,,2.545,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_dryas,cercopithecusdryas,,,,,,,,,,,49000,,Galan-Acedo et al. 2019,,,2.65,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus_albifrons,cebusalbifrons,,,,,,,,,,,1775000,,Galan-Acedo et al. 2019,,,2.74,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chiropotes_chiropotes,chiropoteschiropotes,,,,,,,,,,,1420000,,Galan-Acedo et al. 2019,,,2.74,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chiropotes_albinasus,chiropotesalbinasus,,,,,,,,,,,6050000,,Galan-Acedo et al. 2019,,,2.82,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus_cuscinus,cebuscuscinus,,,,,,,,,,,1500000,,Galan-Acedo et al. 2019,,,2.875,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_xanthosternos,sapajusxanthosternos,,,,,,,,,,,8465000,,Galan-Acedo et al. 2019,,,2.875,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus_olivaceus,cebusolivaceus,,,,,,,,,,,2570000,,Galan-Acedo et al. 2019,,,2.88,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chiropotes_satanas,chiropotessatanas,,,,,,,,,,,580000,,Galan-Acedo et al. 2019,,,2.885,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecusverreauxi,NA,,NA,,,NA,,NA,,,60833.3333,,Galan-Acedo et al. 2019,,,2.91,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cacajao_melanocephalus,cacajaomelanocephalus,,,,,,,,,,,5.00E+06,,Galan-Acedo et al. 2019,,,2.94,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chiropotes_sagulatus,chiropotessagulatus,,,,,,,,,,,5070000,,Galan-Acedo et al. 2019,,,3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chiropotes_utahickae,chiropotesutahickae,,,,,,,,,,,787500,,Galan-Acedo et al. 2019,,,3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Pithecia_albicans,pitheciaalbicans,,,,,,,,,,,1724000,,Galan-Acedo et al. 2019,,,3,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_apella,sapajusapella,,,,,,,,,,,3550000,,Galan-Acedo et al. 2019,,,3.01,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_macrocephalus,sapajusmacrocephalus,,,,,,,,,,,650000,,Galan-Acedo et al. 2019,,,3.05,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_robustus,sapajusrobustus,,,,,,,,,,,1105000,,Galan-Acedo et al. 2019,,,3.05,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus capucinus,cebuscapucinus,NA,,NA,,,NA,,NA,,,1034833.33,,Galan-Acedo et al. 2019,,,3.11,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cacajao_calvus,cacajaocalvus,,,,,,,,,,,17465000,,Galan-Acedo et al. 2019,,,3.17,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cebus_imitator,cebusimitator,,,,,,,,,,,1344000,,Galan-Acedo et al. 2019,,,3.235,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_ascanius,cercopithecusascanius,,,,,,,,,,,225000,,Galan-Acedo et al. 2019,,,3.24,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_sclateri,cercopithecussclateri,,,,,,,,,,,250000,,Galan-Acedo et al. 2019,,,3.25,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,vareciarubra,NA,,NA,,,NA,,NA,,,175250,,Galan-Acedo et al. 2019,,,3.265,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_erythrotis,cercopithecuserythrotis,,,,,,,,,,,315000,,Galan-Acedo et al. 2019,,,3.4,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_cephus,cercopithecuscephus,,,,,,,,,,,660000,,Galan-Acedo et al. 2019,,,3.48,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecustattersalli,NA,,NA,,,NA,,NA,,,94250,,Galan-Acedo et al. 2019,,,3.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,vareciavariegata,NA,,NA,,,NA,,NA,,,1278350,,Galan-Acedo et al. 2019,,,3.55,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_pogonias,cercopithecuspogonias,,,,,,,,,,,1.00E+06,,Galan-Acedo et al. 2019,,,3.58,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_campbelli,cercopithecuscampbelli,,,,,,,,,,,561875,,Galan-Acedo et al. 2019,,,3.6,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_petaurista,cercopithecuspetaurista,,,,,,,,,,,651875,,Galan-Acedo et al. 2019,,,3.65,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Sapajus_nigritus,sapajusnigritus,,,,,,,,,,,2005000,,Galan-Acedo et al. 2019,,,3.7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecuscoquereli,NA,,NA,,,NA,,NA,,,76250,,Galan-Acedo et al. 2019,,,3.785,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_lowei,cercopithecuslowei,,,,,,,,,,,130000,,Galan-Acedo et al. 2019,,,3.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecuscoronatus,NA,,NA,,,NA,,NA,,,13500,,Galan-Acedo et al. 2019,,,3.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Macaca_ochreata,macacaochreata,,,,,,,,,,,570000,,Galan-Acedo et al. 2019,,,3.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chlorocebus_djamdjamensis,chlorocebusdjamdjamensis,,,,,,,,,,,152000,,Galan-Acedo et al. 2019,,,3.98,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Macaca_fascicularis,macacafascicularis,,,,,,,,,,,1570000,,Galan-Acedo et al. 2019,,,4.03,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_mona,cercopithecusmona,,,,,,,,,,,30000,,Galan-Acedo et al. 2019,,,4.05,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecusperrieri,NA,,NA,,,NA,,NA,,,155200,,Galan-Acedo et al. 2019,,,4.41,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Procolobus_verus,procolobusverus,,,,,,,,,,,433000,,Galan-Acedo et al. 2019,,,4.45,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Macaca sinica,macacasinica,NA,,NA,,,NA,,NA,,,660000,,Galan-Acedo et al. 2019,,,4.48,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_diana,cercopithecusdiana,,,,,,,,,,,780000,,Galan-Acedo et al. 2019,,,4.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_roloway,cercopithecusroloway,,,,,,,,,,,1890000,,Galan-Acedo et al. 2019,,,4.55,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chlorocebus_pygerythrus,chlorocebuspygerythrus,,,,,,,,,,,250000,,Galan-Acedo et al. 2019,,,4.665,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Alouatta ululata,alouattaululata,,,,,,,,,,,247400,,Galan-Acedo et al. 2019,,,4.7,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chlorocebus_sabaeus,chlorocebussabaeus,,,,,,,,,,,1605000,,Galan-Acedo et al. 2019,,,4.875,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus mitis,cercopithecusmitis,NA,,NA,,,NA,,NA,,,1750000,,Galan-Acedo et al. 2019,,,4.89,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Macaca radiata,macacaradiata,NA,,NA,,,NA,,NA,,,260000,,Galan-Acedo et al. 2019,,,5.14,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Nomascus_gabriellae,nomascusgabriellae,,,,,,,,,,,518600,,Galan-Acedo et al. 2019,,,5.2,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_albogularis,cercopithecusalbogularis,,,,,,,,,,,142500,,Galan-Acedo et al. 2019,,,5.28,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Chlorocebus_tantalus,chlorocebustantalus,,,,,,,,,,,665000,,Galan-Acedo et al. 2019,,,5.325,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Hylobates_muelleri,hylobatesmuelleri,,,,,,,,,,,450000,,Galan-Acedo et al. 2019,,,5.35,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Alouatta caraya,alouattacaraya,,,,,,,,,,,69125,,Galan-Acedo et al. 2019,,,5.38,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_nictitans,cercopithecusnictitans,,,,,,,,,,,802500,,Galan-Acedo et al. 2019,,,5.46,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Hylobates_pileatus,hylobatespileatus,,,,,,,,,,,360000,,Galan-Acedo et al. 2019,,,5.47,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Macaca_cyclopis,macacacyclopis,,,,,,,,,,,1390000,,Galan-Acedo et al. 2019,,,5.47,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Allochrocebus lhoesti,allochrocebuslhoesti,,,,,,,,,,,889625,,Galan-Acedo et al. 2019,,,5.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Hylobates_funereus,hylobatesfunereus,,,,,,,,,,,380000,,Galan-Acedo et al. 2019,,,5.5,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Alouatta guariba,alouattaguariba,,,,,,,,,,,150650,,Galan-Acedo et al. 2019,,,5.54,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Presbytis_frontata,presbytisfrontata,,,,,,,,,,,2.00E+06,,Galan-Acedo et al. 2019,,,5.61,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecuscandidus,NA,,NA,,,NA,,NA,,,388500,,Galan-Acedo et al. 2019,,,5.685,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Cercopithecus_neglectus,cercopithecusneglectus,,,,,,,,,,,70000,,Galan-Acedo et al. 2019,,,5.74,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
NA,propithecusedwardsi,NA,,NA,,,NA,,NA,,,895800,,Galan-Acedo et al. 2019,,,5.74,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Hylobates_klossii,hylobatesklossii,,,,,,,,,,,333000,,Galan-Acedo et al. 2019,,,5.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Presbytis_mitrata,presbytismitrata,,,,,,,,,,,217500,,Galan-Acedo et al. 2019,,,5.8,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Piliocolobus_waldronae,piliocolobuswaldronae,,,,,,,,,,,1200000,,Galan-Acedo et al. 2019,,,5.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Presbytis_hosei,presbytishosei,,,,,,,,,,,4.00E+05,,Galan-Acedo et al. 2019,,,5.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Presbytis_sabana,presbytissabana,,,,,,,,,,,909000,,Galan-Acedo et al. 2019,,,5.9,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
Hylobates_albibarbis,hylobatesalbibarbis,,,,,,,,,,,395000,,Galan-Acedo et al. 2019,,,5.95,Galan-Acedo et al. 2019,,2,,,,,,,,,,,,,
