"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius"
"146","Passerculus sandwichensis","passerculussandwichensis",1.6,"DM","Jenkins_et_al_2007","1600","m",2529.23,"CF","Horton_2018","2529.23","km",1400,"SDS","Bowman_2003","0.14","ha",0.02,"Bestetal_1996","",4,"SDS","Omnivore","Pigot_etal_2020","","","13400000","IUCN (estimated extent of occurrence)",NA,0.0014,0.0211100412282238
"147","Zonotrichia leucophrys","zonotrichialeucophrys",2.6,"DM","Jenkins_et_al_2007","2600","m",2396.1,"CF","Horton_2018","2396.1","km",1200,"SDS","Bowman_2003","0.12","ha",0.02582,"EOL","",4,"CJL","Omnivore/Omnivore","Pigot_etal_2020","","","10600000","IUCN (estimated extent of occurrence)",NA,0.0012,0.0195441004761168
"148","Empidonax virescens","empidonaxvirescens",0.84,"CJL","Jenkins_et_al_2017","840","m",3457.7,"CF","Horton_2018","3457.7","km",18300,"MG- value was 11000","DeGraaf_2001","1.83","21.8 territorial males per 100 acres (40ha)",0.013,"Bestetal_1996","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","2070000","IUCN (estimated extent of occurrence)",NA,0.0183,0.0763221522047391
"149","Colaptes auratus","colaptesauratus",191,"DM","Prugh_etal","191","km",1448.7,"CF","Horton_2018","1448.7","km",250000,"MG","Elchuk_Wiebe_2003","25","ha",0.132,"Bestetal_1996","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","8520000","IUCN (estimated extent of occurrence)",NA,0.25,0.282094791773878
"150","Aix sponsa","aixsponsa",3.8,"DM","Jenkins_et_al_2007","3800","m",469.4,"CF","Horton_2018","4.69E+02","km",3670000,"MG","Hartke and Hepp 2004","367","ha",0.658,"Bstetal_1996","",4,"PT","Omnivore/Herbivore","Pigot_etal_2020","","","11200000","IUCN (estimated extent of occurrence)",NA,3.67,1.0808317548511
"151","Melanerpes erythrocephalus","melanerpeserythrocephalus",0.58,"DM","Prugh_etal","0.58","km",505,"CF","Horton_2018","505","km",20100,"CJL","Kilgo_Vukovich_2014","2.01","ha",0.072,"Bestetal_1996","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","4680000","IUCN (estimated extent of occurrence)",NA,0.0201,0.0799876785029681
"152","Dumetella carolinensis","dumetellacarolinensis",15,"MG","Tittler_2009","15","Km",2308.1,"CF","Horton_2018","2308.1","km",1260000,"MG","Ladin et al. 2018","1.26","km2",0.0359,"Mace_Harvey_1983","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","8260000","IUCN (estimated extent of occurrence)",NA,1.26,0.633301236846713
"153","Hylocichla mustelina","hylocichlamustelina",70,"MG","Tittler_2009","70","Km",2822.3,"CF","Horton_2018","2822.3","km",1770000,"MG","Ladin et al. 2018","1.77","km2",0.051,"Hein_Gillooly_2011","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","1710000","IUCN (estimated extent of occurrence)",NA,1.77,0.750605421340207
"154","Ammodramus savannarum","ammodramussavannarum",0.346,"MG","Anthony_2013","346","m",1343.9,"CF","Horton_2018","1343.9","km",10900,"CJL","Mace_Harvey_1983","1.09","ha",0.0167,"Mace_Harvey_1983","",4,"CF","Omnivore/Invertivore","Pigot_etal_2020","","","11500000","IUCN (estimated extent of occurrence)",NA,0.0109,0.0589031218137317
"155","Geothlypis trichas","geothlypistrichas",1.7,"DM","Lehnen_Rodewald_2009","1.7","km",2156.4,"CF","Horton_2018","2156.4","km",5300,"CJL","Mace_Harvey_1983","0.53","ha",0.0098,"Mace_Harvey_1983","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","12200000","IUCN (estimated extent of occurrence)",NA,0.0053,0.0410736216661508
"156","Icteria virens","icteriavirens",40,"MG","Tittler_2009","40","Km",2466.4,"CF","Horton_2018","2466.4","km",1300,"CJL","Mace_Harvey_1983","0.13","ha",0.027,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","2560000","IUCN (estimated extent of occurrence)",NA,0.0013,0.0203421447256411
"157","Melospiza melodia","melospizamelodia",45,"MG","Tittler_2009","45","Km",753.4,"CF","Horton_2018","753.4","km",1600,"CJL","Mace_Harvey_1983","0.16","ha",0.0216,"Mace_Harvey_1983","",4,"","Omnivore","Pigot_etal_2020","","","24000000","IUCN (estimated extent of occurrence)",NA,0.0016,0.0225675833419103
"158","Passerina caerulea","passerinacaerulea",25,"MG","Tittler_2009","25","Km",1497.6,"CF","Horton_2018","1497.6","km",61900,"CJL","Mace_Harvey_1983","6.19","ha",0.0279,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","6510000","IUCN (estimated extent of occurrence)",NA,0.0619,0.140368735674211
"159","Passerina cyanea","passerinacyanea",470,"DM","Prugh_etal","470","km",2317.6,"CF","Horton_2018","2317.6","km",1100,"CJL","Mace_Harvey_1983","0.11","ha",0.0143,"Mace_Harvey_1983","",4,"","Herbivore/Granivore","Pigot_etal_2020","","","5450000","IUCN (estimated extent of occurrence)",NA,0.0011,0.0187120515925478
"160","Protonotaria citrea","protonotariacitrea",1.42,"DM","McKim-Louder_2014","1.42","km",2527,"CF","Horton_2018","2527","km",15000,"CJL","Mace_Harvey_1983","1.5","ha",0.0161,"Mace_Harvey_1983","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","3660000","IUCN (estimated extent of occurrence)",NA,0.015,0.0690988298942671
"161","Setophaga ruticilla","setophagaruticilla",0.25,"DM","Prugh_etal","0.25","km",3997.3,"CF","Horton_2018","3997.3","km",1900,"CJL","Mace_Harvey_1983","0.19","ha",0.009,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","14600000","IUCN (estimated extent of occurrence)",NA,0.0019,0.0245924537968297
"162","Sialia sialis","sialiasialis",160,"DM","Prugh_etal","160","km",836,"CF","Horton_2018","836","km",10100,"CJL","Mace_Harvey_1983","1.01","ha",0.0308,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","9410000","IUCN (estimated extent of occurrence)",NA,0.0101,0.0567003514138694
"163","Spiza americana","spizaamericana",0.1125,"DM","Berkley_2007","112.5","m",3533.9,"CF","Horton_2018","3533.9","km",8900,"CJL","Mace_Harvey_1983","0.89","ha",0.035,"Mace_Harvey_1983","",4,"CF","Omnivore/Omnivore","Pigot_etal_2020","","","3930000","IUCN (estimated extent of occurrence)",NA,0.0089,0.0532255388609241
"164","Lanius ludovicianus","laniusludovicianus",79.7,"DM","Jenkins_et_al_2007","79700","m",567.5,"CF","Horton_2018","567.5","km",60000,"DM","makarieva_etal_2005","6","ha",0.0481,"Tamburello_etal","sds",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","9930000","IUCN (estimated extent of occurrence)",NA,0.06,0.138197659788534
"165","Pipilo erythrophthalmus","pipiloerythrophthalmus",15,"MG","Tittler_2009","15","Km",569.8,"CF","Horton_2018","569.8","km",73100,"MG","Martin_2016","7.31","ha",0.041,"Bestetal_1996","",4,"SDS","Omnivore/Herbivore","Pigot_etal_2020","","","3510000","IUCN (estimated extent of occurrence)",NA,0.0731,0.15254000354017
"166","Charadrius montanus","charadriusmontanus",3.5,"DM - changed value","Skrade_Dinsmore_2010","3.5","km",1165.3,"CF","Horton_2018","1165.3","km",566000,"CJL","Plumb_et_al_2005","56.6","ha",0.0957,"EOL","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","1580000","IUCN (estimated extent of occurrence)",NA,0.566,0.424456588569462
"167","Cardellina canadensis","cardellinacanadensis",0.5,"DM - changed value","Ball_etal_2016","500","m",5217.1,"CF alternative name: Wilsonia canadensis","Horton_2018","5217.1","km",10117.1,"SDS","Schoener_1968","2.5","acres",0.0093,"Schoener_1968","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","5080000","IUCN (estimated extent of occurrence)",NA,0.0101171,0.0567483299270563
"168","Setophaga pensylvanica","setophagapensylvanica",35,"MG","Tittler_2009","35","Km",3458.6,"CF alternative name: Dendroica pensylvanica","Horton_2018","3458.6","km",6070.28,"SDS","Schoener_1968","1.5","acres",0.0096,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","4500000","IUCN (estimated extent of occurrence)",NA,0.00607028,0.0439571397602681
"169","Setophaga petechia","setophagapetechia",0.1195,"DM","Cilimburg_et_al_2002","119.5","m",3740,"CF alternative name: Dendroica petechia","Horton_2018","3740","km",1699.68,"SDS","Schoener_1968","0.42","acres",0.0095,"Schoener_1968","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","15700000","IUCN (estimated extent of occurrence)",NA,0.00169968,0.0232599429781946
"170","Spizella passerina","spizellapasserina",40,"MG","Tittler_2009","40","Km",1839.1,"CF","Horton_2018","1839.1","km",30756.1,"SDS","Schoener_1968","7.6","acres",0.0142,"Armstrong_1965","",4,"","Omnivore","Pigot_etal_2020","","","9880000","IUCN (estimated extent of occurrence)",NA,0.0307561,0.0989442807364695
"171","Sturnella magna","sturnellamagna",6,"SDS","Kershner_2004","6.6","km",359.4,"CF","Horton_2018","359.4","km",30351.4,"SDS","Schoener_1968","7.5","acres",0.089,"Schoener_1968","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","20500000","IUCN (estimated extent of occurrence)",NA,0.0303514,0.0982911526004182
"172","Sturnella neglecta","sturnellaneglecta",0.5,"MG","Giovanni_2009",">0.5","Km for post-fledging dispersal",877.5,"CF","Horton_2018","877.5","km",30351.4,"SDS","Schoener_1968","7.5","acres",0.089,"Schoener_1968","",4,"CF","Omnivore/Invertivore","Pigot_etal_2020","","","7760000","IUCN (estimated extent of occurrence)",NA,0.0303514,0.0982911526004182
"173","Troglodytes aedon","troglodytesaedon",75,"MG","Tittler_2009","75","Km",1142,"CF","Horton_2018","1142","km",4046.86,"SDS","Schoener_1968","1","acres",0.0112,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","49100000","IUCN (estimated extent of occurrence)",NA,0.00404686,0.0358908838843756
"174","Troglodytes troglodytes","troglodytestroglodytes",8.9,"MG","Paradis_1998 & Prugh_etal","8.9","Km",1127.8,"CF","Horton_2018","1127.8","km",10117.1,"SDS","Schoener_1968","2.5","acres",0.0095,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","50800000","IUCN (estimated extent of occurrence)",NA,0.0101171,0.0567483299270563
"175","Vireo bellii","vireobellii",4,"SDS","Kus_et_al_2010","","",1537.3,"CF","Horton_2018","1537.3","km",11735.9,"SDS","Schoener_1968","2.9","acres",0.01,"Schoener_1968","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","1380000","IUCN (estimated extent of occurrence)",NA,0.0117359,0.0611199884920175
"176","Vireo griseus","vireogriseus",55,"MG","Tittler_2009","55","Km",1122.6,"CF","Horton_2018","1122.6","km",1335.463,"SDS","Schoener_1968","0.33","acres",0.0114,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","6050000","IUCN (estimated extent of occurrence)",NA,0.001335463,0.0206177369158854
"177","Megascops asio","megascopsasio",2.3,"MG","Belthoff_Ritchison_1989","2.3","km (natal dispersal)",0,"CF","IUCN","not a migrant'",NA,485100,"MG","Belthoff_etal_1993","48.5","ha",0.166,"EOL","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","8220000","IUCN (estimated extent of occurrence)",NA,0.4851,0.392953083443503
"178","Malurus splendens","malurussplendens",2.4,"DM","Jenkins_et_al_2007","2400","m",0,"CF","IUCN","not a migrant'",NA,43000,"SDS","Bowman_2003","4.3","ha",0.009,"Box_etal_2010","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","5350000","IUCN (estimated extent of occurrence)",NA,0.043,0.116992842113964
"179","Perisoreus canadensis","perisoreuscanadensis",11.3,"DM","Jenkins_et_al_2007","11300","m",0,"CF","IUCN","not a migrant'",NA,870000,"SDS","Bowman_2003","87","ha",0.0703,"EOL","",4,"CJL","Omnivore/Omnivore","Pigot_etal_2020","","","16900000","IUCN (estimated extent of occurrence)",NA,0.87,0.526241010355424
"180","Strix nebulosa","strixnebulosa",50,"DM","Jenkins_et_al_2007","50000","m",0,"CF- migration not in IUCN","Cornell Birds of North America","0",NA,47800000,"SDS","Bowman_2003","4780","ha",1.122,"EOL","",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","","","44700000","IUCN (estimated extent of occurrence)",NA,47.8,3.90066821962407
"181","Tetrastes bonasia","tetrastesbonasia",5.7,"DM","Jenkins_et_al_2007","5700","m",0,"CF- not in IUCN","Avibase","sedentary",NA,120000,"SDS","Bowman_2003","12","ha",0.429,"EOL","",4,"CJL","Herbivore","Pigot_etal_2020","","","30700000","IUCN (estimated extent of occurrence)",NA,0.12,0.195441004761168
"182","Panthera leo","pantheraleo",12.3,"DM","Whitmee and Ormee 2012","12.3","linear km",0,"CF- migration not in IUCN","Kittle_2016","inferred from map",NA,2.4e+08,"MG","Gittleman_Harvey_1982","240","km2",155.8,"Gittleman & Harvey (1982)","",4,"SDS","Carnivore","EOL","running","Hirt_etal","","",NA,240,8.74038744473663
"183","Leopardus pardalis","leoparduspardalis",9.9,"DM","Whitmee and Ormee 2012","9.9","linear km",0,"CF","IUCN","not a migrant'",NA,16100000,"MG - value was 12460000","Gonzalez-Borrajo et al 2017","20.5","km2",9.98964,"Tamburello_etal","sds",4,"CJL","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,16.1,2.26379971895904
"184","Peromyscus maniculatus","peromyscusmaniculatus",1.32,"DM","Jenkins_et_al_2007","1320","m",0,"DM - no comment on migration","IUCN","",NA,8100,"CJL","Harestad and Bunnel 1979","0.81","ha",0.016,"Harestad and Bunnel 1979","sds",4,"SDS","Omnivore/Herbivore/Granivore","EOL","running","Hirt_etal","20831240","IUCN (estimated extent of occurrence)",NA,0.0081,0.0507770625192981
"185","Picoides borealis","picoidesborealis",90,"DM","Jenkins_et_al_2007","90000","m",0,"DM","IUCN","not a migrant",NA,869000,"CJL","Hooper_et_al_1982","86.9","ha",0.056,"EOL","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","1630000","IUCN (estimated extent of occurrence)",NA,0.869,0.525938486035881
"186","Gymnorhinus cyanocephalus","gymnorhinuscyanocephalus",640,"DM","Jenkins_et_al_2007","640000","m",0,"DM","IUCN","not a migrant",NA,59800000,"CJL","Johnson_etal_2016","5978","ha",0.105,"EOL","",4,"SDS","Omnivore/Omnivore","Pigot_etal_2020","","","2280000","IUCN (estimated extent of occurrence)",NA,59.8,4.36290398631355
"187","Caracal caracal","caracalcaracal",90,"DM","Whitmee and Ormee 2012","90","linear km",0,"DM","IUCN","not a migrant",NA,275760000,"CJL","Kroshko et al. 2016","275.76","km2",12.9999,"Tamburello_etal","sds",4,"CJL","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","51245224","IUCN (estimated extent of occurrence)",NA,275.76,9.36894520285193
"188","Mustela nivalis","mustelanivalis",6.64,"DM","Prugh_etal","6.64","km",0,"DM","IUCN","not a migrant",NA,67500,"SDS","Lindstedt et al (1986)","6.75","ha",0.0881,"Tamburello_etal","sds",4,"MG","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0675,0.146580753570876
"189","Aquila adalberti","aquilaadalberti",430,"DM","Jenkins_et_al_2007","430000","m",0,"DM","IUCN","not a migrant",NA,1.2e+07,"DM","Makarieva_etal_2005","1200","ha",3,"Makarieva_etal_2005","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","204000","IUCN (estimated extent of occurrence)",NA,12,1.95441004761168
"190","Parabuteo unicinctus","parabuteounicinctus",160,"DM","Jenkins_et_al_2007","160000","m",0,"DM","IUCN","not a migrant",NA,3900000,"DM","makarieva_etal_2005","390","ha",0.73,"makarieva_etal_2005","",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","","","34100000","IUCN (estimated extent of occurrence)",NA,3.9,1.11418515342684
"191","Iguana iguana","iguanaiguana",1.41,"DM","Jenkins_et_al_2007","1410","m",0,"DM","IUCN","not a migrant",NA,4370,"MG","Perry_Garland_2002","4.37E+03","m2",1.068414286,"Perry_Garland_2002","",4,"MG","Herbivore","Perry_Garland_2002","","","","",NA,0.00437,0.0372963028009904
"192","Lagopus lagopus","lagopuslagopus",7.5,"DM","Jenkins_et_al_2007","7500","m",0,"DM","IUCN","not a migrant",NA,25899.9,"SDS","Schoener_1968","6.4","acres",0.62,"Schoener_1968","",4,"SDS","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","3680000","IUCN (estimated extent of occurrence)",NA,0.0258999,0.0907975452375865
"193","Poecile palustris","poecilepalustris",1.77,"CJL","Sutherland_etal_2000","1.77 = weighted avg of males & females","km",0,"DM","IUCN","not a migrant",NA,22662.4,"SDS","Schoener_1968","5.6","acres",0.011,"Schoener_1968","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","30100000","IUCN (estimated extent of occurrence)",NA,0.0226624,0.0849333030362739
"194","Aegithalos caudatus","aegithaloscaudatus",24.9,"DM","Jenkins_et_al_2007","24900","m",0,"DM","IUCN","not a migrant",NA,42000,"DM","Tamburello_etal","42000","m2",0.008,"Tamburello_etal","yes",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","44600000","IUCN (estimated extent of occurrence)",NA,0.042,0.115624457705622
"195","Lampropeltis triangulum","lampropeltistriangulum",0.5,"DM","Jenkins_et_al_2007","500","m",0,"DM","IUCN","not a migrant",NA,240400,"DM","Tamburello_etal","240400","m2",0.165,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.2404,0.276625553119345
"196","Picus viridis","picusviridis",27.8,"DM","Jenkins_et_al_2007","27800","m",0,"DM","IUCN","not a migrant",NA,1850000,"DM","Tamburello_etal","1850000","m2",0.18667,"Tamburello_etal","yes",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","11800000","IUCN (estimated extent of occurrence)",NA,1.85,0.767380798196054
"197","Coluber constrictor","coluberconstrictor",2.29,"DM","Jenkins_et_al_2007","2290","m",0,"DM","IUCN","not a migrant",NA,151000,"DM","Tamburello_etal","151000","m2",0.55615,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.151,0.219236841825804
"198","Dicamptodon tenebrosus","dicamptodontenebrosus",0.06625,"DM","Jenkins_et_al_2007","66.25","m",0,"SDS","JOHNSTON_1999","not a migrant",NA,2978.58,"CJL","Johnston_2002","2978.58 = average of column in Table 2","m2",0.06785,"","",4,"PLT","Carnivore","Animal_Diversity_Web","","","","",NA,0.00297858,0.0307914186225532
"199","Thomomys bottae","thomomysbottae",0.3,"DM","Jenkins_et_al_2007","300","m",0,"SDS","Jones_Baxter_2004","not a migrant","",71.14,"DM","Tamburello_etal","71.14","m2",0.16018,"Tamburello_etal","yes",4,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","3018235","IUCN (estimated extent of occurrence)",NA,7.114e-05,0.00475863061217351
"200","Carcharhinus limbatus","carcharhinuslimbatus",2146,"DM","Jenkins_et_al_2007","2146000","m",2148,"SDS","Keeney_et_al_2003","2.15E+03","km",977000,"CJL - value was 8090000","Heupel_et_al_2004","weighted avg of inds from two years: ((33*0.7)+(41*1.2))/(33+41)","km2",122.8,"EOL","",4,"","Carnivore","EOL","","","","",NA,0.977,0.557663661001471
"201","Sternotherus odoratus","sternotherusodoratus",0.011,"DM","Jenkins_et_al_2007","11","m",0,"SDS","King_Heatwolfe_1999","not a migrant","",28000,"DM","Tamburello_etal","28000","m2",0.19,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.028,0.094406974388263
"202","Nerodia erythrogaster","nerodiaerythrogaster",1,"DM","Jenkins_et_al_2007","1000","m",0,"SDS","Kingsbury_Copolla_2000","not a migrant","",131000,"DM","Tamburello_etal","131000","m2",0.31324,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.131,0.2042023386009
"203","Nerodia sipeodon","nerodiasipeodon",0.006,"DM","Jenkins_et_al_2007","6","m",0,"SDS","Kingsbury_Copolla_2000","not a migrant","",40000,"DM","Tamburello_etal","40000","m2",0.19055,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.04,0.112837916709551
"204","Pseudacris triseriata","pseudacristriseriata",0.213,"DM","Jenkins_et_al_2007","213","m",0,"SDS - changed source","Dinsmore_Swanson_2008","not a migrant","",2117,"CJL","Kramer_1974","2117","m2",0.00552,"EOL","",4,"CF","Carnivore","EOL","","","","",NA,0.002117,0.0259588526143026
"205","Riparia riparia","ripariariparia",144,"DM","Jenkins_et_al_2007","144000","m",3454,"SDS - changed source","La Sorte et al. 2013","3454","km",282743,"CF","Alves_1994","300","metre (raduis)",0.012,"Hein_Gillooly_2011","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","74400000","IUCN (estimated extent of occurrence)",NA,0.282743,0.299999820248719
"206","Accipiter cooperii","accipitercooperii",35.2,"DM","Jenkins_et_al_2007","35200","m",2500,"SDS - was 700","Henney_1990","2500","",84646.0836,"DM","Armstrong_1965","290.94","ha",0.47,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","11800000","IUCN (estimated extent of occurrence)",NA,0.0846460836,0.164145317437384
"207","Asio flammeus","asioflammeus",326.9,"MG","Calladine_et_al_2012","Taken from pictured of breeding/natal areas","",4722,"SDS - changed source","Johnson_etal_2017","","km",408.04,"DM","Armstrong_1965","2.02E+01","ha",0.315,"Armstrong_1965","yes",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","","","246000000","IUCN (estimated extent of occurrence)",NA,0.00040804,0.0113966295876647
"208","Buteo lineatus","buteolineatus",24,"DM","Jenkins_et_al_2007","24000","m",1000,"SDS - changed source","Jacobs_Jacobs_2002","","km",4604.9796,"DM","Armstrong_1965","67.86","ha",0.625,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","9590000","IUCN (estimated extent of occurrence)",NA,0.0046049796,0.0382859051395507
"209","Buteo swainsoni","buteoswainsoni",320,"DM","Jenkins_et_al_2007","320000","m",13504,"SDS - changed source","Fuller_etal_1998","","km",182628.0225,"DM","Armstrong_1965","427.35","ha",0.988,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","5660000","IUCN (estimated extent of occurrence)",NA,0.1826280225,0.241106418529134
"210","Chordeiles minor","chordeilesminor",0.05,"SDS","Brigham_etal_2020","50","m",11000,"SDS - changed source","Hein_Gillooly_2011","","km",108.16,"DM","Armstrong_1965","10.4","ha",0.062,"Hein_Gillooly_2011","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","16600000","IUCN (estimated extent of occurrence)",NA,0.00010816,0.00586757166889667
"211","Circus hudsonius","circushudsonius",0.6,"DM","Jenkins_et_al_2007","600","m",2000,"SDS - changed source","IUCN","2000","km",67750.8841,"DM","Armstrong_1965","260.29","ha",0.521,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","34800000","IUCN (estimated extent of occurrence)",NA,0.0677508841,0.146852906701645
"212","Falco sparverius","falcosparverius",4.93,"DM","Prugh_etal","4.93","km",6000,"SDS - changed source","Hein_Gillooly_2011","","km",31201.6896,"DM","Armstrong_1965","176.64","ha",0.114,"Armstrong_1965","yes",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","52700000","IUCN (estimated extent of occurrence)",NA,0.0312016896,0.0996584480378757
"213","Haliaeetus leucocephalus","haliaeetusleucocephalus",69.2,"CJL","Millsap_etal_2014","69.2","km",930,"SDS - changed source","Laing_Bird_2005","","km",41330.89,"DM","Armstrong_1965","203.3","ha",3.997,"Armstrong_1965","yes",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","23300000","IUCN (estimated extent of occurrence)",NA,0.04133089,0.114699742335259
"214","Falco columbarius","falcocolumbarius",81.1,"DM","Jenkins_et_al_2007","81100","m",3400,"SDS - changed source","Warkinstin_1990","","km",125663.7,"CF- value was 21330000","Becker_Sieg_1987","200","metre (radius)",0.195,"EOL","",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","","","103000000","IUCN (estimated extent of occurrence)",NA,0.1256637,0.199999995111085
"215","Falco peregrinus","falcoperegrinus",357,"DM","Jenkins_et_al_2007","357000","m",8600,"SDS - changed source","Hein_Gillooly_2011","","km",12600000,"SDS","Bowman_2003","1256","ha",0.7815,"Tamburello_etal","sds",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying","Hirt_etal","413000000","IUCN (estimated extent of occurrence)",NA,12.6,2.00267435343736
"216","Numenius phaeopus","numeniusphaeopus",1.63,"DM","Jenkins_et_al_2007","1630","m",5000,"SDS - changed source","Watts_etal_2008","","km",210000,"SDS","Bowman_2003","21","ha",0.403,"EOL","",4,"CJL","Omnivore/Carnivore","Pigot_etal_2020","flying","Hirt_etal","31100000","IUCN (estimated extent of occurrence)",NA,0.21,0.258544147291321
"217","Sayornis nigricans","sayornisnigricans",34.4,"DM","Jenkins_et_al_2007","34400","m",100,"SDS - changed source","IUCN","95","km",700,"SDS","Bowman_2003","0.07","ha",0.022,"EOL","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","16700000","IUCN (estimated extent of occurrence)",NA,7e-04,0.0149270533036046
"218","Eudocimus albus","eudocimusalbus",100,"DM","Jenkins_et_al_2007","100000","m",0,"SDS - changed source","IUCN","355","km",12570000,"SDS - ref and value wrong","Frederick_Ogden_1997","10","km",0.904,"EOL","",4,"MG","Carnivore/Aquatic predator","Pigot_etal_2020","","","12900000","IUCN (estimated extent of occurrence)",NA,12.57,2.00028879648171
"219","Anas platyrhynchos","anasplatyrhynchos",19.9,"DM","Prugh_etal","19.9","km",676,"SDS - changed source","Soderquist_etal_2013","1233","km",2250000,"CJL - value was 4030000","Gilmer_et_al_1975","average of 210 & 240 (same sample size of males & females)","ha",1.082,"Owen_Cook_1977","",4,"","Herbivore/Herbivore aquatic","Pigot_etal_2020","flying","Hirt_etal","65800000","IUCN (estimated extent of occurrence)",NA,2.25,0.846284375321634
"220","Calidris mauri","calidrismauri",0.0875,"CJL - changed value (wrong units)","Sandercock et al. 2000","87.5 - average of medians for males, females, and pairs in Fig 1","m",3200,"SDS - changed source","Hein_Gillooly_2011","","km",706.8,"SDS - value was 2000","Holmes_1973","15","m",0.047,"Hein_Gillooy_2011","",4,"PLT","Carnivore/Aquatic predator","Pigot_etal_2020","","","947000","IUCN (estimated extent of occurrence)",NA,0.0007068,0.0149993809057142
"221","Anas crecca","anascrecca",0.5,"SDS","Fox_1986","500 - rough average of badly labelled figure, range 100 - 2000m ","m",5000,"SDS - changed source","Hein_Gillooly_2011","","km",747500,"SDS","Legagneux_etal","74.75","ha",0.35,"Hein_Gillooly_2011","",4,"MG","Herbivore/Herbivore aquatic","Pigot_etal_2020","","","48200000","IUCN (estimated extent of occurrence)",NA,0.7475,0.487787494635096
