A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
P,Plant,Macrocnemumglabrescens,1.94E-05,340,-4.712,2.531478917
P,Plant,Spergulariamarina,8.00E-05,340,-4.097,2.531478917
P,Plant,Crepisbiennis,3.50E-04,350,-3.456,2.544068044
P,Plant,Lueheaseemannii,2.10E-03,350,-2.678,2.544068044
P,Plant,Alseisblackiana,1.20E-04,377,-3.921,2.57634135
P,Plant,Mimulusguttatus,4.35E-05,400,-4.362,2.602059991
P,Plant,Cedrelaodorata,1.41E-02,410,-1.851,2.612783857
P,Plant,Acerrubrum,1.99E-02,475,-1.701,2.67669361
P,Plant,Betulapapyrifera,3.28E-04,475,-3.484,2.67669361
P,Plant,Piceaglauca,6.66E-03,475,-2.177,2.67669361
P,Plant,Pinusresinosa,8.70E-03,475,-2.06,2.67669361
P,Plant,Pinusstrobus,1.68E-02,475,-1.775,2.67669361
P,Plant,Jacarandacopaia,6.50E-03,538,-2.187,2.730782276
P,Plant,Nyssaaquatica,1.01E+00,600,0.004,2.77815125
P,Plant,Leontodonautumnalis,7.00E-04,610,-3.155,2.785329835
P,Plant,Taraxacumofficinale,6.00E-04,620,-3.222,2.792391689
P,Plant,Crepisvirens,3.50E-04,650,-3.456,2.812913357
P,Plant,Piperamalgo,4.00E-06,700,-5.398,2.84509804
P,Plant,Cespediziamacrophylla,1.32E-01,775,-0.879,2.889301703
P,Plant,Pseudotsugamenziesii,1.08E-02,800,-1.967,2.903089987
P,Plant,Cirsiumvulgare,2.64E-03,900,-2.578,2.954242509
P,Plant,Sonchusarvensis,6.00E-04,1100,-3.222,3.041392685
P,Plant,Juniperusvirginiana,9.86E-06,1200,-5.006,3.079181246
P,Plant,Seneciovulgaris,2.30E-04,1200,-3.638,3.079181246
P,Plant,Astertripolium,2.00E-03,1500,-2.699,3.176091259
P,Plant,Tsugacanadensis,2.42E-03,1600,-2.616,3.204119983
P,Plant,Taxodiumdistichum,8.35E-02,1800,-1.078,3.255272505
P,Plant,Hypochaerisradicata,1.04E-03,1900,-2.983,3.278753601
P,Plant,Quercuspalustris,1.11E+00,1900,0.044,3.278753601
P,Plant,Tragopogonpratensis,1.03E-02,1900,-1.987,3.278753601
P,Plant,Erigeroncanadensis,3.33E-04,2500,-3.478,3.397940009
P,Plant,Phragmitessp,1.20E-04,2500,-3.921,3.397940009
P,Plant,Pinusalbicaulis,1.26E-01,3500,-0.9,3.544068044
P,Plant,Epilobiumhirsutum,5.00E-05,3800,-4.301,3.579783597
P,Plant,Populussp,1.18E-04,3900,-3.928,3.591064607
P,Plant,Fagusgrandifolia,2.84E-01,4000,-0.547,3.602059991
P,Plant,Tussilagofarfara,2.50E-04,4000,-3.602,3.602059991
P,Plant,Typhalatifolia,3.00E-05,5400,-4.523,3.73239376
P,Plant,Salixalba,1.25E-04,6500,-3.902,3.812913357
P,Plant,Epilobiumpalustre,4.00E-05,7300,-4.398,3.86332286
P,Plant,pollenQuercus,5.23E-09,7500,-8.281,3.875061263
P,Plant,Seneciocongestus,2.67E-04,8800,-3.574,3.944482672
P,Plant,Epilobiumangustifolium,3.70E-04,10000,-3.432,4
P,Plant,Thujasp,1.31E-03,15000,-2.883,4.176091259
P,Plant,pollen(varioustreesp),5.23E-09,19000,-8.281,4.278753601
P,Plant,Pinusedulis,1.94E-01,22000,-0.711,4.342422681
P,Plant,Enhalusacoroides,2.49E-01,63500,-0.604,4.802773725
P,Plant,Thalassiahemprichii,1.02E-01,73500,-0.991,4.866287339
P,Plant,pollenvarioustrees,5.23E-09,380000,-8.281,5.579783597
P,Protista,Chilodonella,1.00E-06,1.60E+01,-6,1.204119983
P,Protista,Difflugiidae,2.00E-06,1.60E+01,-5.699,1.204119983
P,Protista,Dileptus,3.00E-06,3.20E+01,-5.523,1.505149978
P,Protista,Uronema,3.00E-09,3.20E+01,-8.523,1.505149978
P,Protista,Ankistrodesmus,1.00E-09,6.40E+01,-9,1.806179974
P,Protista,Chaos,3.00E-03,6.40E+01,-2.523,1.806179974
P,Protista,Chlorococcalian,3.00E-09,6.40E+01,-8.523,1.806179974
P,Protista,Coleps,1.00E-06,6.40E+01,-6,1.806179974
P,Protista,Cyclidium,3.00E-09,6.40E+01,-8.523,1.806179974
P,Protista,Cyrtolophosis,1.00E-09,6.40E+01,-9,1.806179974
P,Protista,Diatoms,1.00E-09,6.40E+01,-9,1.806179974
P,Protista,Euglenophyta,1.00E-06,6.40E+01,-6,1.806179974
P,Protista,Kirchneriella,1.00E-09,6.40E+01,-9,1.806179974
P,Protista,Monas,2.00E-09,6.40E+01,-8.699,1.806179974
P,Protista,Nannochloris,1.00E-09,6.40E+01,-9,1.806179974
P,Protista,Oikomonadidae,2.00E-09,6.40E+01,-8.699,1.806179974
P,Protista,Oxytrichidae,1.00E-06,6.40E+01,-6,1.806179974
P,Protista,Paramecium,2.00E-06,6.40E+01,-5.699,1.806179974
P,Protista,Phormidium,1.00E-09,6.40E+01,-9,1.806179974
P,Protista,Vampyrellidae,3.00E-09,6.40E+01,-8.523,1.806179974
P,Protista,Vorticella,1.00E-06,6.40E+01,-6,1.806179974
P,Protista,Actinophrys,4.00E-09,4.00E+02,-8.398,2.602059991
P,Protista,Bodonidae,1.00E-09,4.00E+02,-9,2.602059991
P,Protista,Chlamydomonas,2.00E-09,4.00E+02,-8.699,2.602059991
P,Protista,Chlorella,1.00E-09,4.00E+02,-9,2.602059991
P,Protista,Chlorosarcina,1.00E-09,4.00E+02,-9,2.602059991
P,Protista,Colpoda,1.00E-09,4.00E+02,-9,2.602059991
P,Protista,Flabellula,4.50E-09,4.00E+02,-8.347,2.602059991
P,Protista,Gromiidae,1.70E-06,4.00E+02,-5.77,2.602059991
P,Protista,hartmannellidae,2.00E-09,4.00E+02,-8.699,2.602059991
P,Protista,Lyngbya,1.00E-09,4.00E+02,-9,2.602059991
P,Protista,nonchaosamoebae,5.00E-06,4.00E+02,-5.301,2.602059991
P,Protista,Palmellococcus,1.00E-09,4.00E+02,-9,2.602059991
P,Rotifer,Monostyla,1.00E-09,1.60E+01,-9,1.204119983
P,Rotifer,Lecane,1.00E-04,3.20E+01,-4,1.505149978
P,Rotifer,Brachionus,1.00E-09,6.40E+01,-9,1.806179974
P,Rotifer,Lepadella,1.00E-09,6.40E+01,-9,1.806179974
P,Rotifer,Bdelloidrotifers,1.00E-04,1.50E+02,-4,2.176091259
P,Rotifer,Lecaneclosterocerca,1.00E-04,1.50E+02,-4,2.176091259
P,Rotifer,Lecanecopeis,1.00E-04,1.50E+02,-4,2.176091259
